Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	
3,625000E+2	3,008104E-1	3,625000E+2	-8,583659E-2	3,625000E+2	2,564517E-1	3,625000E+2	-8,186403E-1	3,625000E+2	2,058760E-2	3,625000E+2	-7,271795E-1	3,625000E+2	2,329945E-1	3,625000E+2	-6,589163E-2
3,640625E+2	3,227631E-1	3,640625E+2	-1,014112E-1	3,640625E+2	2,772398E-1	3,640625E+2	-8,638619E-1	3,640625E+2	3,182810E-2	3,640625E+2	-7,175890E-1	3,640625E+2	2,353074E-1	3,640625E+2	-7,442976E-2
3,656250E+2	3,455643E-1	3,656250E+2	-1,164429E-1	3,656250E+2	3,023333E-1	3,656250E+2	-9,113690E-1	3,656250E+2	4,219332E-2	3,656250E+2	-7,089513E-1	3,656250E+2	2,376504E-1	3,656250E+2	-8,294086E-2
3,671875E+2	3,665808E-1	3,671875E+2	-1,318359E-1	3,671875E+2	3,271226E-1	3,671875E+2	-9,569907E-1	3,671875E+2	5,350351E-2	3,671875E+2	-7,050881E-1	3,671875E+2	2,398016E-1	3,671875E+2	-9,085567E-2
3,687500E+2	3,883755E-1	3,687500E+2	-1,466106E-1	3,687500E+2	3,559178E-1	3,687500E+2	-1,004177E+0	3,687500E+2	6,409771E-2	3,687500E+2	-7,015387E-1	3,687500E+2	2,419802E-1	3,687500E+2	-9,874656E-2
3,703125E+2	4,103057E-1	3,703125E+2	-1,610352E-1	3,703125E+2	3,819352E-1	3,703125E+2	-1,050508E+0	3,703125E+2	7,377460E-2	3,703125E+2	-7,007038E-1	3,703125E+2	2,440470E-1	3,703125E+2	-1,065430E-1
3,718750E+2	4,330242E-1	3,718750E+2	-1,747600E-1	3,718750E+2	4,113131E-1	3,718750E+2	-1,098405E+0	3,718750E+2	8,298735E-2	3,718750E+2	-6,999942E-1	3,718750E+2	2,461399E-1	3,718750E+2	-1,143120E-1
3,734375E+2	4,538508E-1	3,734375E+2	-1,861069E-1	3,734375E+2	4,395896E-1	3,734375E+2	-1,142725E+0	3,734375E+2	8,748666E-2	3,734375E+2	-6,962284E-1	3,734375E+2	2,483082E-1	3,734375E+2	-1,222169E-1
3,750000E+2	4,751482E-1	3,750000E+2	-1,963432E-1	3,750000E+2	4,707687E-1	3,750000E+2	-1,187997E+0	3,750000E+2	9,175914E-2	3,750000E+2	-6,928653E-1	3,750000E+2	2,505154E-1	3,750000E+2	-1,300931E-1
3,765625E+2	4,965383E-1	3,765625E+2	-2,046230E-1	3,765625E+2	5,044427E-1	3,765625E+2	-1,229505E+0	3,765625E+2	2,432388E-2	3,765625E+2	-6,173169E-1	3,765625E+2	2,521943E-1	3,765625E+2	-1,380255E-1
