Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
3,921875E+2	2,285099E+0	3,921875E+2	-4,163577E+0	3,921875E+2	-2,453013E+0	3,921875E+2	4,374376E+0
3,937500E+2	4,603082E+0	3,937500E+2	-4,163770E+0	3,937500E+2	-2,517778E+0	3,937500E+2	4,618956E+0
3,953125E+2	4,439404E+0	3,953125E+2	-4,145669E+0	3,953125E+2	-2,636740E+0	3,953125E+2	4,798986E+0
3,968750E+2	4,270313E+0	3,968750E+2	-4,126961E+0	3,968750E+2	-2,755457E+0	3,968750E+2	4,974412E+0
3,984375E+2	4,152495E+0	3,984375E+2	-2,066562E-1	3,984375E+2	9,416843E-1	3,984375E+2	5,054491E+0
4,000000E+2	4,031652E+0	4,000000E+2	2,946633E+0	4,000000E+2	3,648084E+0	4,000000E+2	5,132150E+0
4,015625E+2	1,960678E+0	4,015625E+2	2,931720E+0	4,015625E+2	5,316687E+0	4,015625E+2	4,850142E+0
4,031250E+2	-1,190474E+0	4,031250E+2	2,916835E+0	4,031250E+2	6,716117E+0	4,031250E+2	4,552245E+0
4,046875E+2	-1,324073E+0	4,046875E+2	2,915460E+0	4,046875E+2	6,965476E+0	4,046875E+2	4,464087E+0
4,062500E+2	-1,458524E+0	4,062500E+2	2,913988E+0	4,062500E+2	7,202153E+0	4,062500E+2	4,367486E+0
4,078125E+2	-1,592345E+0	4,078125E+2	1,611541E+0	4,078125E+2	7,366204E+0	4,078125E+2	4,244473E+0
4,093750E+2	-1,727053E+0	4,093750E+2	-1,082632E-1	4,093750E+2	7,523142E+0	4,093750E+2	4,121104E+0
4,109375E+2	-1,858245E+0	4,109375E+2	-1,914163E-1	4,109375E+2	5,495664E+0	4,109375E+2	4,042010E+0
4,125000E+2	-1,990168E+0	4,125000E+2	-2,751388E-1	4,125000E+2	2,760945E+0	4,125000E+2	3,963500E+0
4,140625E+2	-2,146572E+0	4,140625E+2	-3,635946E-1	4,140625E+2	2,479072E+0	4,140625E+2	3,957056E+0
4,156250E+2	-2,304478E+0	4,156250E+2	-4,527688E-1	4,156250E+2	2,195035E+0	4,156250E+2	4,069364E+0
4,171875E+2	-2,572922E+0	4,171875E+2	-5,311464E-1	4,171875E+2	2,125681E+0	4,171875E+2	3,903544E+0
4,187500E+2	-2,847096E+0	4,187500E+2	-6,099756E-1	4,187500E+2	2,056983E+0	4,187500E+2	3,740819E+0
4,203125E+2	-2,919831E+0	4,203125E+2	-6,852149E-1	4,203125E+2	2,075470E+0	4,203125E+2	3,680743E+0
4,218750E+2	-2,992052E+0	4,218750E+2	-7,607398E-1	4,218750E+2	2,089646E+0	4,218750E+2	3,624785E+0
4,234375E+2	-2,211922E+0	4,234375E+2	-8,454488E-1	4,234375E+2	2,131321E+0	4,234375E+2	3,544425E+0
4,250000E+2	-1,487296E+0	4,250000E+2	-9,310903E-1	4,250000E+2	2,168136E+0	4,250000E+2	3,468244E+0
