Sample 1 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	
3,515625E+2	4,876213E+1	3,515625E+2	-3,529523E+2	3,515625E+2	2,495091E+1	3,515625E+2	-3,671439E+2	3,515625E+2	1,893587E+1	3,515625E+2	-2,813412E+2	3,515625E+2	2,833252E+1	3,515625E+2	-2,708206E+2
3,531250E+2	4,683873E+1	3,531250E+2	-3,499624E+2	3,531250E+2	2,439889E+1	3,531250E+2	-3,644420E+2	3,531250E+2	1,855014E+1	3,531250E+2	-2,793036E+2	3,531250E+2	2,794613E+1	3,531250E+2	-2,688670E+2
3,546875E+2	4,478979E+1	3,546875E+2	-3,418142E+2	3,546875E+2	2,393229E+1	3,546875E+2	-3,616365E+2	3,546875E+2	1,821393E+1	3,546875E+2	-2,772074E+2	3,546875E+2	2,764250E+1	3,546875E+2	-2,668872E+2
3,562500E+2	3,902417E+1	3,562500E+2	-3,290028E+2	3,562500E+2	2,341523E+1	3,562500E+2	-3,587498E+2	3,562500E+2	1,785118E+1	3,562500E+2	-2,750980E+2	3,562500E+2	2,732407E+1	3,562500E+2	-2,649199E+2
3,578125E+2	3,542696E+1	3,578125E+2	-3,229486E+2	3,578125E+2	2,380683E+1	3,578125E+2	-3,546184E+2	3,578125E+2	1,744887E+1	3,578125E+2	-2,729742E+2	3,578125E+2	2,700467E+1	3,578125E+2	-2,629830E+2
3,593750E+2	3,187756E+1	3,593750E+2	-3,169327E+2	3,593750E+2	2,465800E+1	3,593750E+2	-3,489973E+2	3,593750E+2	1,701856E+1	3,593750E+2	-2,708348E+2	3,593750E+2	2,668200E+1	3,593750E+2	-2,610610E+2
3,609375E+2	3,345209E+1	3,609375E+2	-3,471589E+2	3,609375E+2	2,284316E+1	3,609375E+2	-3,580609E+2	3,609375E+2	1,670895E+1	3,609375E+2	-2,686492E+2	3,609375E+2	2,126344E+1	3,609375E+2	-2,588929E+2
3,625000E+2	6,023743E+1	3,625000E+2	-3,958067E+2	3,625000E+2	2,024432E+1	3,625000E+2	-3,748226E+2	3,625000E+2	1,638197E+1	3,625000E+2	-2,664554E+2	3,625000E+2	1,255363E+1	3,625000E+2	-2,562447E+2
3,640625E+2	5,878942E+1	3,640625E+2	-3,931101E+2	3,640625E+2	2,027999E+1	3,640625E+2	-3,725271E+2	3,640625E+2	1,591142E+1	3,640625E+2	-2,642982E+2	3,640625E+2	1,078161E+1	3,640625E+2	-2,541717E+2
3,656250E+2	5,737852E+1	3,656250E+2	-3,904247E+2	3,656250E+2	2,038264E+1	3,656250E+2	-3,702751E+2	3,656250E+2	1,541038E+1	3,656250E+2	-2,621325E+2	3,656250E+2	9,019256E+0	3,656250E+2	-2,520804E+2
