Sample 1 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 1 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 2 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 2 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 3 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 3 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 4 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 4 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	
4,437500E+2	1,324029E+0	4,437500E+2	3,612341E-1	4,437500E+2	7,398258E-1	4,437500E+2	-2,305322E-3	4,437500E+2	5,549885E-1	4,437500E+2	2,967099E-1	4,437500E+2	8,709447E-1	4,437500E+2	5,414433E-1
4,453125E+2	9,983745E-1	4,453125E+2	1,157219E-1	4,453125E+2	9,304697E-1	4,453125E+2	4,126586E-2	4,453125E+2	5,522771E-1	4,453125E+2	3,012915E-1	4,453125E+2	8,780938E-1	4,453125E+2	5,412823E-1
4,468750E+2	8,451845E-1	4,468750E+2	4,616747E-2	4,468750E+2	1,613457E+0	4,468750E+2	3,932486E-1	4,468750E+2	5,492557E-1	4,468750E+2	3,052025E-1	4,468750E+2	8,853557E-1	4,468750E+2	5,412918E-1
4,484375E+2	8,785512E-1	4,484375E+2	5,667149E-2	4,484375E+2	1,565829E+0	4,484375E+2	3,611304E-1	4,484375E+2	5,460970E-1	4,484375E+2	3,075957E-1	4,484375E+2	8,967055E-1	4,484375E+2	5,391223E-1
4,500000E+2	9,171701E-1	4,500000E+2	6,957734E-2	4,500000E+2	1,522640E+0	4,500000E+2	3,336885E-1	4,500000E+2	5,428062E-1	4,500000E+2	3,094161E-1	4,500000E+2	9,083135E-1	4,500000E+2	5,369620E-1
4,515625E+2	9,488485E-1	4,515625E+2	8,262362E-2	4,515625E+2	1,356943E+0	4,515625E+2	2,237618E-1	4,515625E+2	5,744092E-1	4,515625E+2	4,455872E-1	4,515625E+2	9,782635E-1	4,515625E+2	4,723484E-1
4,531250E+2	9,847220E-1	4,531250E+2	9,855341E-2	4,531250E+2	1,239608E+0	4,531250E+2	1,624554E-1	4,531250E+2	4,750335E-1	4,531250E+2	6,011317E-1	4,531250E+2	1,034527E+0	4,531250E+2	3,893343E-1
4,546875E+2	9,981381E-1	4,546875E+2	1,071234E-1	4,546875E+2	1,076038E+0	4,546875E+2	9,654920E-2	4,546875E+2	5,390704E-1	4,546875E+2	6,293874E-1	4,546875E+2	1,043479E+0	4,546875E+2	3,353121E-1
4,562500E+2	1,012117E+0	4,562500E+2	1,164497E-1	4,562500E+2	9,768374E-1	4,562500E+2	6,332987E-2	4,562500E+2	6,089761E-1	4,562500E+2	6,426050E-1	4,562500E+2	1,045594E+0	4,562500E+2	2,840410E-1
4,578125E+2	9,706326E-1	4,578125E+2	9,977892E-2	4,578125E+2	9,469962E-1	4,578125E+2	5,192325E-2	4,578125E+2	6,232383E-1	4,578125E+2	6,298776E-1	4,578125E+2	1,043237E+0	4,578125E+2	2,641451E-1
