Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity 2	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity 2	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity 2	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity 2	
5,984375E+2	-5,722667E-2	5,984375E+2	1,469916E-1	5,984375E+2	1,581328E-1	5,984375E+2	1,376224E-1
6,000000E+2	-4,772949E-2	6,000000E+2	1,450241E-1	6,000000E+2	1,561351E-1	6,000000E+2	1,349135E-1
6,015625E+2	-3,235017E-2	6,015625E+2	1,384072E-1	6,015625E+2	1,527797E-1	6,015625E+2	1,326095E-1
6,031250E+2	-1,622904E-2	6,031250E+2	1,316829E-1	6,031250E+2	1,489078E-1	6,031250E+2	1,301701E-1
6,046875E+2	-8,060791E-3	6,046875E+2	1,300973E-1	6,046875E+2	1,475839E-1	6,046875E+2	1,276171E-1
6,062500E+2	5,443722E-4	6,062500E+2	1,284906E-1	6,062500E+2	1,459891E-1	6,062500E+2	1,250194E-1
6,078125E+2	1,446932E-2	6,078125E+2	1,260973E-1	6,078125E+2	1,442403E-1	6,078125E+2	1,221560E-1
6,093750E+2	2,824375E-2	6,093750E+2	1,238703E-1	6,093750E+2	1,423903E-1	6,093750E+2	1,192984E-1
6,109375E+2	7,069542E-2	6,109375E+2	1,146501E-1	6,109375E+2	1,375492E-1	6,109375E+2	1,177514E-1
6,125000E+2	1,056234E-1	6,125000E+2	1,034798E-1	6,125000E+2	1,326943E-1	6,125000E+2	1,162580E-1
6,140625E+2	1,070571E-1	6,140625E+2	9,136819E-2	6,140625E+2	1,310619E-1	6,140625E+2	1,132772E-1
6,156250E+2	1,087017E-1	6,156250E+2	8,422171E-2	6,156250E+2	1,294600E-1	6,156250E+2	1,103551E-1
6,171875E+2	1,093606E-1	6,171875E+2	8,266532E-2	6,171875E+2	1,252342E-1	6,171875E+2	1,094985E-1
6,187500E+2	1,101621E-1	6,187500E+2	8,115940E-2	6,187500E+2	1,210296E-1	6,187500E+2	1,086695E-1
