Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	
4,046875E+2	-5,741273E-1	4,046875E+2	-5,049248E-1	4,046875E+2	-7,473971E-1	4,046875E+2	-4,328500E-1	4,046875E+2	-7,082058E-1	4,046875E+2	1,921236E-1	4,046875E+2	-4,830941E-1	4,046875E+2	1,835802E-1
4,062500E+2	-5,368582E-1	4,062500E+2	-5,433251E-1	4,062500E+2	-7,399001E-1	4,062500E+2	-4,393590E-1	4,062500E+2	-7,027303E-1	4,062500E+2	2,015219E-1	4,062500E+2	-4,498592E-1	4,062500E+2	1,991820E-1
4,078125E+2	-4,987492E-1	4,078125E+2	-5,801148E-1	4,078125E+2	-7,389735E-1	4,078125E+2	-4,744243E-1	4,078125E+2	-7,005627E-1	4,078125E+2	2,047503E-1	4,078125E+2	-4,418161E-1	4,078125E+2	1,890408E-1
4,093750E+2	-4,573590E-1	4,093750E+2	-6,148350E-1	4,093750E+2	-7,426778E-1	4,093750E+2	-5,287548E-1	4,093750E+2	-6,990211E-1	4,093750E+2	2,068902E-1	4,093750E+2	-4,332462E-1	4,093750E+2	1,789357E-1
4,109375E+2	-4,134823E-1	4,109375E+2	-6,476179E-1	4,109375E+2	-7,265935E-1	4,109375E+2	-5,538034E-1	4,109375E+2	-7,268334E-1	4,109375E+2	1,428218E-1	4,109375E+2	-4,170996E-1	4,109375E+2	1,705250E-1
4,125000E+2	-3,665787E-1	4,125000E+2	-6,776812E-1	4,125000E+2	-7,095347E-1	4,125000E+2	-5,784936E-1	4,125000E+2	-7,748206E-1	4,125000E+2	4,155347E-3	4,125000E+2	-4,005182E-1	4,125000E+2	1,634399E-1
4,140625E+2	-3,058037E-1	4,140625E+2	-7,002774E-1	4,140625E+2	-6,941185E-1	4,140625E+2	-6,012536E-1	4,140625E+2	-7,878606E-1	4,140625E+2	-3,823490E-2	4,140625E+2	-1,535724E-1	4,140625E+2	3,024363E-1
4,156250E+2	-2,424106E-1	4,156250E+2	-7,172441E-1	4,156250E+2	-6,778625E-1	4,156250E+2	-6,237448E-1	4,156250E+2	-7,996926E-1	4,156250E+2	-8,518853E-2	4,156250E+2	9,074202E-3	4,156250E+2	4,916283E-1
4,171875E+2	-1,412520E-1	4,171875E+2	-6,991778E-1	4,171875E+2	-6,607544E-1	4,171875E+2	-6,434477E-1	4,171875E+2	-8,131564E-1	4,171875E+2	-1,101968E-1	4,171875E+2	1,646598E-2	4,171875E+2	4,563792E-1
4,187500E+2	-4,572492E-2	4,187500E+2	-6,634270E-1	4,187500E+2	-6,429632E-1	4,187500E+2	-6,627792E-1	4,187500E+2	-8,260240E-1	4,187500E+2	-1,371010E-1	4,187500E+2	2,668255E-2	4,187500E+2	4,176296E-1
4,203125E+2	4,737919E-3	4,203125E+2	-6,593671E-1	4,203125E+2	-6,245884E-1	4,203125E+2	-6,805660E-1	4,203125E+2	-8,163866E-1	4,203125E+2	-1,426940E-1	4,203125E+2	2,235406E-2	4,203125E+2	3,717591E-1
4,218750E+2	5,411672E-2	4,218750E+2	-6,526355E-1	4,218750E+2	-6,056035E-1	4,218750E+2	-6,979287E-1	4,218750E+2	-8,073282E-1	4,218750E+2	-1,485208E-1	4,218750E+2	1,837469E-2	4,218750E+2	3,216689E-1
4,234375E+2	-1,420044E-1	4,234375E+2	-7,065725E-1	4,234375E+2	-5,771239E-1	4,234375E+2	-7,084970E-1	4,234375E+2	-7,901199E-1	4,234375E+2	-1,452877E-1	4,234375E+2	1,000408E-2	4,234375E+2	2,585750E-1
