Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	
3,484375E+2	-4,210259E-1	3,484375E+2	-2,440081E-1	3,484375E+2	-3,987324E-1	3,484375E+2	-6,183487E-1	3,484375E+2	-3,601117E-1	3,484375E+2	-1,083768E+0	3,484375E+2	-5,964328E-1	3,484375E+2	-1,047561E+0
3,500000E+2	-4,032700E-1	3,500000E+2	-2,592453E-1	3,500000E+2	-3,663737E-1	3,500000E+2	-6,329437E-1	3,500000E+2	-3,460515E-1	3,500000E+2	-1,068267E+0	3,500000E+2	-5,727485E-1	3,500000E+2	-1,037595E+0
3,515625E+2	-3,813888E-1	3,515625E+2	-2,700932E-1	3,515625E+2	-3,395138E-1	3,515625E+2	-6,448303E-1	3,515625E+2	-3,343346E-1	3,515625E+2	-1,051265E+0	3,515625E+2	-5,494766E-1	3,515625E+2	-1,029182E+0
3,531250E+2	-3,593358E-1	3,531250E+2	-2,797203E-1	3,531250E+2	-3,133463E-1	3,531250E+2	-6,560168E-1	3,531250E+2	-3,230565E-1	3,531250E+2	-1,035558E+0	3,531250E+2	-5,271244E-1	3,531250E+2	-1,020813E+0
3,546875E+2	-2,233828E-1	3,546875E+2	-5,736510E-1	3,546875E+2	-3,063402E-1	3,546875E+2	-6,676290E-1	3,546875E+2	-3,203565E-1	3,546875E+2	-1,016025E+0	3,546875E+2	-5,068393E-1	3,546875E+2	-1,014895E+0
3,562500E+2	-1,743512E-1	3,562500E+2	-7,206301E-1	3,562500E+2	-2,990846E-1	3,562500E+2	-6,786537E-1	3,562500E+2	-3,172369E-1	3,562500E+2	-9,982284E-1	3,562500E+2	-4,872108E-1	3,562500E+2	-1,008919E+0
3,578125E+2	-1,698939E-1	3,578125E+2	-7,170068E-1	3,578125E+2	-5,239193E-1	3,578125E+2	-6,601293E-1	3,578125E+2	-3,174676E-1	3,578125E+2	-9,787054E-1	3,578125E+2	-4,647709E-1	3,578125E+2	-1,008471E+0
3,593750E+2	-1,655939E-1	3,593750E+2	-7,135957E-1	3,593750E+2	-6,326727E-1	3,593750E+2	-6,405216E-1	3,593750E+2	-3,170146E-1	3,593750E+2	-9,609007E-1	3,593750E+2	-4,427669E-1	3,593750E+2	-1,007536E+0
3,609375E+2	-1,187328E-1	3,609375E+2	-6,148804E-1	3,609375E+2	-5,387966E-1	3,609375E+2	-6,822361E-1	3,609375E+2	-3,081568E-1	3,609375E+2	-9,428447E-1	3,609375E+2	-6,083635E-1	3,609375E+2	-2,937300E-1
3,625000E+2	-5,308374E-1	3,625000E+2	-1,010154E-1	3,625000E+2	-1,174206E-1	3,625000E+2	-7,280547E-1	3,625000E+2	-2,997894E-1	3,625000E+2	-9,261138E-1	3,625000E+2	-6,174481E-1	3,625000E+2	-8,643696E-2
3,640625E+2	-5,031515E-1	3,640625E+2	-1,152409E-1	3,640625E+2	-7,439469E-2	3,640625E+2	-7,266674E-1	3,640625E+2	-3,064396E-1	3,640625E+2	-9,085687E-1	3,640625E+2	-6,131739E-1	3,640625E+2	-9,719698E-2
3,656250E+2	-4,753168E-1	3,656250E+2	-1,276715E-1	3,656250E+2	-3,087116E-2	3,656250E+2	-7,214006E-1	3,656250E+2	-3,119426E-1	3,656250E+2	-8,924480E-1	3,656250E+2	-6,087404E-1	3,656250E+2	-1,078094E-1
3,671875E+2	-4,500117E-1	3,671875E+2	-1,398846E-1	3,671875E+2	8,531837E-3	3,671875E+2	-7,149497E-1	3,671875E+2	-3,111278E-1	3,671875E+2	-8,775106E-1	3,671875E+2	-6,045444E-1	3,671875E+2	-1,175849E-1
3,687500E+2	-4,246461E-1	3,687500E+2	-1,504407E-1	3,687500E+2	4,743733E-2	3,687500E+2	-7,054568E-1	3,687500E+2	-3,100937E-1	3,687500E+2	-8,637190E-1	3,687500E+2	-6,002160E-1	3,687500E+2	-1,272289E-1
3,703125E+2	-3,998804E-1	3,703125E+2	-1,598448E-1	3,703125E+2	8,278002E-2	3,703125E+2	-6,972448E-1	3,703125E+2	-3,063128E-1	3,703125E+2	-8,524493E-1	3,703125E+2	-5,959507E-1	3,703125E+2	-1,366809E-1
3,718750E+2	-3,751975E-1	3,718750E+2	-1,677079E-1	3,718750E+2	1,174602E-1	3,718750E+2	-6,868685E-1	3,718750E+2	-3,025650E-1	3,718750E+2	-8,419193E-1	3,718750E+2	-5,915633E-1	3,718750E+2	-1,459987E-1
3,734375E+2	-3,534783E-1	3,734375E+2	-1,732583E-1	3,734375E+2	1,477279E-1	3,734375E+2	-6,765212E-1	3,734375E+2	-3,044403E-1	3,734375E+2	-8,351261E-1	3,734375E+2	-5,869565E-1	3,734375E+2	-1,553726E-1
3,750000E+2	-3,321951E-1	3,750000E+2	-1,773161E-1	3,750000E+2	1,770764E-1	3,750000E+2	-6,647071E-1	3,750000E+2	-3,059317E-1	3,750000E+2	-8,287861E-1	3,750000E+2	-5,822169E-1	3,750000E+2	-1,646005E-1
3,765625E+2	-3,118912E-1	3,765625E+2	-1,793761E-1	3,765625E+2	2,029508E-1	3,765625E+2	-6,513882E-1	3,765625E+2	-4,323008E-1	3,765625E+2	-8,631873E-1	3,765625E+2	-5,780232E-1	3,765625E+2	-1,739406E-1
3,781250E+2	-2,922443E-1	3,781250E+2	-1,800855E-1	3,781250E+2	2,277652E-1	3,781250E+2	-6,371638E-1	3,781250E+2	-5,026819E-1	3,781250E+2	-1,008679E+0	3,781250E+2	-5,736859E-1	3,781250E+2	-1,831477E-1
3,796875E+2	-2,686710E-1	3,796875E+2	-1,792330E-1	3,796875E+2	2,503224E-1	3,796875E+2	-6,321929E-1	3,796875E+2	-5,075260E-1	3,796875E+2	-9,978302E-1	3,796875E+2	-6,299897E-1	3,796875E+2	-4,540795E-1
3,812500E+2	-2,457486E-1	3,812500E+2	-1,767810E-1	3,812500E+2	2,725864E-1	3,812500E+2	-6,265696E-1	3,812500E+2	-5,110544E-1	3,812500E+2	-9,875525E-1	3,812500E+2	7,305895E+0	3,812500E+2	6,303473E+0
3,828125E+2	-2,315137E-1	3,828125E+2	-1,667354E-1	3,828125E+2	2,901516E-1	3,828125E+2	-6,169591E-1	3,828125E+2	-5,110924E-1	3,828125E+2	-9,801235E-1	3,828125E+2	6,233659E+0	3,828125E+2	5,663555E+0
3,843750E+2	-2,196157E-1	3,843750E+2	-1,557078E-1	3,843750E+2	3,071819E-1	3,843750E+2	-6,070476E-1	3,843750E+2	-5,102693E-1	3,843750E+2	-9,732756E-1	3,843750E+2	5,436738E+0	3,843750E+2	5,149057E+0
3,859375E+2	-2,032162E-1	3,859375E+2	-1,345795E-1	3,859375E+2	3,210703E-1	3,859375E+2	-5,991185E-1	3,859375E+2	-5,055943E-1	3,859375E+2	-9,734941E-1	3,859375E+2	-6,885429E-1	3,859375E+2	-8,554819E-1
3,875000E+2	-1,909461E-1	3,875000E+2	-1,118709E-1	3,875000E+2	3,346148E-1	3,875000E+2	-5,910410E-1	3,875000E+2	-5,003392E-1	3,875000E+2	-9,738939E-1	3,875000E+2	-6,074500E-1	3,875000E+2	-1,441515E-1
3,890625E+2	-1,224237E-1	3,890625E+2	-4,180326E-1	3,890625E+2	3,462502E-1	3,890625E+2	-5,898069E-1	3,890625E+2	-4,799042E-1	3,890625E+2	-9,870049E-1	3,890625E+2	-5,770939E-1	3,890625E+2	-5,493074E-2
3,906250E+2	-2,490169E-1	3,906250E+2	-6,405599E-1	3,906250E+2	3,578966E-1	3,906250E+2	-5,883463E-1	3,906250E+2	-4,589337E-1	3,906250E+2	-9,993310E-1	3,906250E+2	-5,570423E-1	3,906250E+2	1,498005E-2
3,921875E+2	-6,498764E-1	3,921875E+2	-4,842981E-1	3,921875E+2	3,621544E-1	3,921875E+2	-5,865975E-1	3,921875E+2	-4,350587E-1	3,921875E+2	-1,023605E+0	3,921875E+2	-5,389312E-1	3,921875E+2	4,301606E-2
3,937500E+2	-7,630883E-1	3,937500E+2	-3,447307E-1	3,937500E+2	3,666311E-1	3,937500E+2	-5,848135E-1	3,937500E+2	-4,099005E-1	3,937500E+2	-1,046990E+0	3,937500E+2	-5,245110E-1	3,937500E+2	6,794113E-2
3,953125E+2	-7,510934E-1	3,953125E+2	-3,550975E-1	3,953125E+2	3,671842E-1	3,953125E+2	-5,903286E-1	3,953125E+2	-3,757196E-1	3,953125E+2	-1,087599E+0	3,953125E+2	-5,070475E-1	3,953125E+2	8,767660E-2
3,968750E+2	-7,389821E-1	3,968750E+2	-3,646725E-1	3,968750E+2	3,682067E-1	3,968750E+2	-5,955525E-1	3,968750E+2	-3,386089E-1	3,968750E+2	-1,127287E+0	3,968750E+2	-4,928569E-1	3,968750E+2	1,059891E-1
3,984375E+2	-7,287267E-1	3,984375E+2	-3,736254E-1	3,984375E+2	-5,000028E-1	3,984375E+2	-7,098401E-1	3,984375E+2	-7,276927E-1	3,984375E+2	-4,098464E-1	3,984375E+2	-4,801942E-1	3,984375E+2	1,212559E-1
4,000000E+2	-7,184478E-1	4,000000E+2	-3,820276E-1	4,000000E+2	-6,891127E-1	4,000000E+2	-5,253925E-1	4,000000E+2	-7,561491E-1	4,000000E+2	-1,276682E-1	4,000000E+2	-4,698510E-1	4,000000E+2	1,360216E-1
4,015625E+2	-6,453815E-1	4,015625E+2	-4,672050E-1	4,015625E+2	-6,790692E-1	4,015625E+2	-5,329853E-1	4,015625E+2	-7,291185E-1	4,015625E+2	3,304893E-2	4,015625E+2	-4,781906E-1	4,015625E+2	1,275522E-1
4,031250E+2	-3,735879E-1	4,031250E+2	-5,653702E-1	4,031250E+2	-6,689100E-1	4,031250E+2	-5,404869E-1	4,031250E+2	-7,090955E-1	4,031250E+2	1,298236E-1	4,031250E+2	-4,872204E-1	4,031250E+2	1,177210E-1
4,046875E+2	-3,311815E-1	4,046875E+2	-5,903390E-1	4,046875E+2	-6,602125E-1	4,046875E+2	-5,464695E-1	4,046875E+2	-7,031254E-1	4,046875E+2	1,425515E-1	4,046875E+2	-4,529835E-1	4,046875E+2	1,325365E-1
4,062500E+2	-2,866397E-1	4,062500E+2	-6,127749E-1	4,062500E+2	-6,514186E-1	4,062500E+2	-5,524610E-1	4,062500E+2	-6,983904E-1	4,062500E+2	1,530817E-1	4,062500E+2	-4,221379E-1	4,062500E+2	1,505343E-1
4,078125E+2	-2,428220E-1	4,078125E+2	-6,324336E-1	4,078125E+2	-6,180729E-1	4,078125E+2	-6,092519E-1	4,078125E+2	-6,965813E-1	4,078125E+2	1,569936E-1	4,078125E+2	-4,121148E-1	4,078125E+2	1,417063E-1
4,093750E+2	-1,973957E-1	4,093750E+2	-6,491887E-1	4,093750E+2	-5,526368E-1	4,093750E+2	-6,949561E-1	4,093750E+2	-6,953252E-1	4,093750E+2	1,597538E-1	4,093750E+2	-4,016461E-1	4,093750E+2	1,332005E-1
4,109375E+2	-1,511882E-1	4,109375E+2	-6,634897E-1	4,109375E+2	-5,284251E-1	4,109375E+2	-7,145215E-1	4,109375E+2	-7,159628E-1	4,109375E+2	8,304692E-2	4,109375E+2	-3,852108E-1	4,109375E+2	1,274616E-1
4,125000E+2	-1,038593E-1	4,125000E+2	-6,746544E-1	4,125000E+2	-5,033688E-1	4,125000E+2	-7,332617E-1	4,125000E+2	-7,379550E-1	4,125000E+2	-7,452162E-2	4,125000E+2	-3,687340E-1	4,125000E+2	1,231322E-1
4,140625E+2	-4,752675E-2	4,140625E+2	-6,752340E-1	4,140625E+2	-4,802616E-1	4,140625E+2	-7,506897E-1	4,140625E+2	-7,425979E-1	4,140625E+2	-1,154833E-1	4,140625E+2	-1,650468E-1	4,140625E+2	2,625041E-1
4,156250E+2	8,521097E-3	4,156250E+2	-6,709886E-1	4,156250E+2	-4,563933E-1	4,156250E+2	-7,674210E-1	4,156250E+2	-7,448638E-1	4,156250E+2	-1,595432E-1	4,156250E+2	-3,397244E-2	4,156250E+2	4,353330E-1
4,171875E+2	8,595118E-2	4,171875E+2	-6,277196E-1	4,171875E+2	-4,326645E-1	4,171875E+2	-7,813734E-1	4,171875E+2	-7,516502E-1	4,171875E+2	-1,817272E-1	4,171875E+2	-2,838999E-2	4,171875E+2	4,044315E-1
4,187500E+2	1,540824E-1	4,187500E+2	-5,745823E-1	4,187500E+2	-4,083702E-1	4,187500E+2	-7,946175E-1	4,187500E+2	-7,573283E-1	4,187500E+2	-2,051133E-1	4,187500E+2	-2,028707E-2	4,187500E+2	3,714328E-1
4,203125E+2	1,930321E-1	4,203125E+2	-5,630528E-1	4,203125E+2	-3,842141E-1	4,203125E+2	-8,063446E-1	4,203125E+2	-7,465266E-1	4,203125E+2	-2,066661E-1	4,203125E+2	-2,324073E-2	4,203125E+2	3,333843E-1
4,218750E+2	2,307291E-1	4,218750E+2	-5,499326E-1	4,218750E+2	-3,595909E-1	4,218750E+2	-8,173648E-1	4,218750E+2	-7,364521E-1	4,218750E+2	-2,085268E-1	4,218750E+2	-2,502864E-2	4,218750E+2	2,926758E-1
4,234375E+2	7,602220E-2	4,234375E+2	-6,538284E-1	4,234375E+2	-3,278532E-1	4,234375E+2	-8,183263E-1	4,234375E+2	-7,205444E-1	4,234375E+2	-2,011696E-1	4,234375E+2	-2,877260E-2	4,234375E+2	2,421756E-1
4,250000E+2	-7,190870E-2	4,250000E+2	-6,977236E-1	4,250000E+2	-2,964315E-1	4,250000E+2	-8,180087E-1	4,250000E+2	-7,067012E-1	4,250000E+2	-1,943938E-1	4,250000E+2	-3,085500E-2	4,250000E+2	1,867252E-1
4,265625E+2	-4,889125E-1	4,265625E+2	-6,058609E-1	4,265625E+2	-2,726973E-1	4,265625E+2	-8,197235E-1	4,265625E+2	-7,009616E-1	4,265625E+2	-1,664725E-1	4,265625E+2	-5,326533E-1	4,265625E+2	1,935814E-1
4,281250E+2	-6,664383E-1	4,281250E+2	-4,511407E-1	4,281250E+2	-2,490439E-1	4,281250E+2	-8,208559E-1	4,281250E+2	-6,978125E-1	4,281250E+2	-1,428085E-1	4,281250E+2	-1,055025E+0	4,281250E+2	5,352598E-2
4,296875E+2	-6,745190E-1	4,296875E+2	-4,310388E-1	4,296875E+2	-2,323278E-1	4,296875E+2	-8,296382E-1	4,296875E+2	-6,948740E-1	4,296875E+2	-1,019608E-1	4,296875E+2	-1,026955E+0	4,296875E+2	2,893766E-2
4,312500E+2	-6,811442E-1	4,312500E+2	-4,135348E-1	4,312500E+2	-2,152482E-1	4,312500E+2	-8,381045E-1	4,312500E+2	-6,949810E-1	4,312500E+2	-6,828963E-2	4,312500E+2	-9,984946E-1	4,312500E+2	6,804308E-3
4,328125E+2	-6,357265E-1	4,328125E+2	-4,614598E-1	4,328125E+2	9,951482E-2	4,328125E+2	-8,032285E-1	4,328125E+2	-6,885561E-1	4,328125E+2	-5,065097E-2	4,328125E+2	-7,776637E-1	4,328125E+2	2,938088E-2
4,343750E+2	-5,742663E-1	4,343750E+2	-5,095464E-1	4,343750E+2	4,589319E-1	4,343750E+2	-4,976649E-1	4,343750E+2	-6,847315E-1	4,343750E+2	-3,560510E-2	4,343750E+2	-4,693535E-1	4,343750E+2	4,857217E-2
4,359375E+2	-3,884080E-1	4,359375E+2	-6,139149E-1	4,359375E+2	-5,447522E-1	4,359375E+2	-6,498942E-1	4,359375E+2	-6,787487E-1	4,359375E+2	-3,998974E-2	4,359375E+2	-4,600014E-1	4,359375E+2	3,460778E-2
4,375000E+2	-8,077853E-2	4,375000E+2	-6,275173E-1	4,375000E+2	-7,885785E-1	4,375000E+2	-3,568484E-1	4,375000E+2	-6,734243E-1	4,375000E+2	-4,461779E-2	4,375000E+2	-4,501924E-1	4,375000E+2	2,105349E-2
4,390625E+2	-2,664856E-2	4,390625E+2	-6,214946E-1	4,390625E+2	-7,782051E-1	4,390625E+2	-3,681827E-1	4,390625E+2	-6,593500E-1	4,390625E+2	-2,542629E-2	4,390625E+2	-4,398873E-1	4,390625E+2	8,148068E-3
4,406250E+2	2,643587E-2	4,406250E+2	-6,107184E-1	4,406250E+2	-7,676785E-1	4,406250E+2	-3,795060E-1	4,406250E+2	-6,502490E-1	4,406250E+2	-7,428710E-3	4,406250E+2	-4,291545E-1	4,406250E+2	-4,324788E-3
4,421875E+2	7,433444E-2	4,421875E+2	-6,065627E-1	4,421875E+2	-7,577079E-1	4,421875E+2	-3,948851E-1	4,421875E+2	-6,377515E-1	4,421875E+2	6,920856E-3	4,421875E+2	-4,167917E-1	4,421875E+2	-1,740140E-2
4,437500E+2	1,216040E-1	4,437500E+2	-5,987512E-1	4,437500E+2	-7,473763E-1	4,437500E+2	-4,101799E-1	4,437500E+2	-6,294330E-1	4,437500E+2	2,083670E-2	4,437500E+2	-4,039411E-1	4,437500E+2	-2,999345E-2
4,453125E+2	-5,210724E-1	4,453125E+2	-5,656329E-1	4,453125E+2	-4,271309E-1	4,453125E+2	-7,483286E-1	4,453125E+2	-6,179029E-1	4,453125E+2	3,116924E-2	4,453125E+2	-3,901191E-1	4,453125E+2	-4,322197E-2
4,468750E+2	-7,545362E-1	4,468750E+2	-3,257494E-1	4,468750E+2	5,656345E-1	4,468750E+2	-5,192327E-1	4,468750E+2	-6,095169E-1	4,468750E+2	4,155236E-2	4,468750E+2	-3,757487E-1	4,468750E+2	-5,595201E-2
4,484375E+2	-7,280059E-1	4,484375E+2	-3,916909E-1	4,484375E+2	5,411246E-1	4,484375E+2	-5,459881E-1	4,484375E+2	-5,994103E-1	4,484375E+2	5,199720E-2	4,484375E+2	-3,589699E-1	4,484375E+2	-7,108621E-2
