Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 14_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 15_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 16_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 17_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 18_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 19_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 20_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 21_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 22_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 23_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 24_Frequency [Hz]	Absorption Coefficient on Cavity	
1,468750E+2	5,303708E-2	1,468750E+2	5,556214E-2	1,468750E+2	4,541062E-2	1,468750E+2	4,386789E-2	1,468750E+2	2,676614E-2	1,468750E+2	3,579354E-2	1,468750E+2	1,359353E-1	1,468750E+2	1,408862E-1	1,468750E+2	1,316765E-1	1,468750E+2	1,893757E-1	1,468750E+2	4,461634E-2	1,468750E+2	4,607128E-2	1,468750E+2	2,577542E-1	1,468750E+2	2,246713E-1	1,468750E+2	1,638081E-1	1,468750E+2	9,516148E-2	1,468750E+2	6,499660E-2	1,468750E+2	7,458870E-2	1,468750E+2	1,155670E-1	1,468750E+2	1,189969E-1	1,468750E+2	2,938323E-1	1,468750E+2	2,849627E-2	1,468750E+2	3,859394E-2	1,468750E+2	2,418145E-2
1,484375E+2	5,523988E-2	1,484375E+2	5,315777E-2	1,484375E+2	4,204236E-2	1,484375E+2	5,134926E-2	1,484375E+2	3,547191E-2	1,484375E+2	3,638283E-2	1,484375E+2	1,344313E-1	1,484375E+2	1,438860E-1	1,484375E+2	1,405084E-1	1,484375E+2	1,836487E-1	1,484375E+2	4,967401E-2	1,484375E+2	5,434046E-2	1,484375E+2	2,553603E-1	1,484375E+2	2,295973E-1	1,484375E+2	1,724180E-1	1,484375E+2	9,509300E-2	1,484375E+2	7,061648E-2	1,484375E+2	7,398559E-2	1,484375E+2	1,227872E-1	1,484375E+2	1,290037E-1	1,484375E+2	3,116591E-1	1,484375E+2	2,633300E-2	1,484375E+2	2,976439E-2	1,484375E+2	2,670132E-2
1,500000E+2	5,578074E-2	1,500000E+2	6,055867E-2	1,500000E+2	5,210382E-2	1,500000E+2	4,299888E-2	1,500000E+2	3,965989E-2	1,500000E+2	3,359509E-2	1,500000E+2	1,450443E-1	1,500000E+2	1,505071E-1	1,500000E+2	1,462580E-1	1,500000E+2	1,813977E-1	1,500000E+2	4,621411E-2	1,500000E+2	5,845949E-2	1,500000E+2	2,660968E-1	1,500000E+2	2,342301E-1	1,500000E+2	1,786662E-1	1,500000E+2	1,043107E-1	1,500000E+2	6,994836E-2	1,500000E+2	7,459364E-2	1,500000E+2	1,331596E-1	1,500000E+2	1,302598E-1	1,500000E+2	3,255940E-1	1,500000E+2	2,952693E-2	1,500000E+2	3,188589E-2	1,500000E+2	2,746621E-2
1,515625E+2	5,865993E-2	1,515625E+2	6,386530E-2	1,515625E+2	5,696816E-2	1,515625E+2	4,324266E-2	1,515625E+2	3,683234E-2	1,515625E+2	2,689223E-2	1,515625E+2	1,547920E-1	1,515625E+2	1,525881E-1	1,515625E+2	1,524420E-1	1,515625E+2	1,792135E-1	1,515625E+2	5,358535E-2	1,515625E+2	5,794457E-2	1,515625E+2	2,652538E-1	1,515625E+2	2,339533E-1	1,515625E+2	1,771736E-1	1,515625E+2	1,099140E-1	1,515625E+2	7,512198E-2	1,515625E+2	7,476248E-2	1,515625E+2	1,338397E-1	1,515625E+2	1,318270E-1	1,515625E+2	3,475720E-1	1,515625E+2	3,848823E-2	1,515625E+2	3,258196E-2	1,515625E+2	3,286845E-2
1,531250E+2	5,333601E-2	1,531250E+2	5,504071E-2	1,531250E+2	5,755760E-2	1,531250E+2	4,830485E-2	1,531250E+2	3,610186E-2	1,531250E+2	2,904148E-2	1,531250E+2	1,539387E-1	1,531250E+2	1,585658E-1	1,531250E+2	1,546247E-1	1,531250E+2	1,724918E-1	1,531250E+2	5,300923E-2	1,531250E+2	5,653892E-2	1,531250E+2	2,710494E-1	1,531250E+2	2,411866E-1	1,531250E+2	1,832708E-1	1,531250E+2	1,095468E-1	1,531250E+2	7,966850E-2	1,531250E+2	7,165148E-2	1,531250E+2	1,369049E-1	1,531250E+2	1,344960E-1	1,531250E+2	3,640521E-1	1,531250E+2	3,264719E-2	1,531250E+2	3,348770E-2	1,531250E+2	3,662210E-2
1,546875E+2	5,939280E-2	1,546875E+2	6,316868E-2	1,546875E+2	6,179699E-2	1,546875E+2	4,781097E-2	1,546875E+2	3,027932E-2	1,546875E+2	3,510530E-2	1,546875E+2	1,694146E-1	1,546875E+2	1,610065E-1	1,546875E+2	1,621245E-1	1,546875E+2	1,682566E-1	1,546875E+2	5,134915E-2	1,546875E+2	6,632882E-2	1,546875E+2	2,715715E-1	1,546875E+2	2,484241E-1	1,546875E+2	1,921888E-1	1,546875E+2	1,089876E-1	1,546875E+2	7,681252E-2	1,546875E+2	7,646047E-2	1,546875E+2	1,432799E-1	1,546875E+2	1,402542E-1	1,546875E+2	3,824871E-1	1,546875E+2	3,956220E-2	1,546875E+2	3,683343E-2	1,546875E+2	3,542171E-2
1,562500E+2	6,077490E-2	1,562500E+2	5,951647E-2	1,562500E+2	5,560045E-2	1,562500E+2	5,231279E-2	1,562500E+2	3,388194E-2	1,562500E+2	3,969339E-2	1,562500E+2	1,709945E-1	1,562500E+2	1,678326E-1	1,562500E+2	1,670185E-1	1,562500E+2	1,702479E-1	1,562500E+2	5,700061E-2	1,562500E+2	6,623932E-2	1,562500E+2	2,784071E-1	1,562500E+2	2,508549E-1	1,562500E+2	2,041445E-1	1,562500E+2	1,113426E-1	1,562500E+2	8,322318E-2	1,562500E+2	8,540803E-2	1,562500E+2	1,450364E-1	1,562500E+2	1,427127E-1	1,562500E+2	4,047424E-1	1,562500E+2	3,908723E-2	1,562500E+2	3,262847E-2	1,562500E+2	3,382504E-2
1,578125E+2	6,239968E-2	1,578125E+2	5,999234E-2	1,578125E+2	5,266061E-2	1,578125E+2	4,746103E-2	1,578125E+2	3,799961E-2	1,578125E+2	3,684717E-2	1,578125E+2	1,702941E-1	1,578125E+2	1,741517E-1	1,578125E+2	1,735076E-1	1,578125E+2	1,721313E-1	1,578125E+2	6,501453E-2	1,578125E+2	6,168449E-2	1,578125E+2	2,792480E-1	1,578125E+2	2,549598E-1	1,578125E+2	2,100208E-1	1,578125E+2	1,114580E-1	1,578125E+2	7,992332E-2	1,578125E+2	8,519738E-2	1,578125E+2	1,503775E-1	1,578125E+2	1,462946E-1	1,578125E+2	4,306529E-1	1,578125E+2	4,029968E-2	1,578125E+2	2,992962E-2	1,578125E+2	3,577987E-2
1,593750E+2	6,190906E-2	1,593750E+2	6,244243E-2	1,593750E+2	5,202943E-2	1,593750E+2	4,587877E-2	1,593750E+2	4,195874E-2	1,593750E+2	4,147770E-2	1,593750E+2	1,780082E-1	1,593750E+2	1,754390E-1	1,593750E+2	1,753104E-1	1,593750E+2	1,639398E-1	1,593750E+2	6,170523E-2	1,593750E+2	6,336883E-2	1,593750E+2	2,814488E-1	1,593750E+2	2,681912E-1	1,593750E+2	2,148780E-1	1,593750E+2	1,126280E-1	1,593750E+2	8,609971E-2	1,593750E+2	8,780667E-2	1,593750E+2	1,538960E-1	1,593750E+2	1,558887E-1	1,593750E+2	4,540915E-1	1,593750E+2	3,909535E-2	1,593750E+2	3,478286E-2	1,593750E+2	3,252116E-2
1,609375E+2	6,625412E-2	1,609375E+2	7,026650E-2	1,609375E+2	5,545754E-2	1,609375E+2	5,172867E-2	1,609375E+2	4,078839E-2	1,609375E+2	3,983545E-2	1,609375E+2	1,841836E-1	1,609375E+2	1,867050E-1	1,609375E+2	1,807160E-1	1,609375E+2	1,640507E-1	1,609375E+2	6,349655E-2	1,609375E+2	6,654560E-2	1,609375E+2	2,885865E-1	1,609375E+2	2,744839E-1	1,609375E+2	2,218074E-1	1,609375E+2	1,168667E-1	1,609375E+2	8,942723E-2	1,609375E+2	9,233985E-2	1,609375E+2	1,569852E-1	1,609375E+2	1,604715E-1	1,609375E+2	4,796187E-1	1,609375E+2	4,364032E-2	1,609375E+2	3,778379E-2	1,609375E+2	3,751673E-2
