Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,375000E+2	1,000479E+2	3,375000E+2	1,100330E+2	3,375000E+2	1,200351E+2	3,375000E+2	1,300027E+2	3,375000E+2	1,399525E+2	3,375000E+2	1,450380E+2	3,375000E+2	9,808208E+1	3,375000E+2	1,075452E+2	3,375000E+2	1,162988E+2	3,375000E+2	1,248521E+2	3,375000E+2	1,335616E+2	3,375000E+2	1,379137E+2
3,390625E+2	1,000585E+2	3,390625E+2	1,100336E+2	3,390625E+2	1,200245E+2	3,390625E+2	1,300392E+2	3,390625E+2	1,398984E+2	3,390625E+2	1,449865E+2	3,390625E+2	9,807069E+1	3,390625E+2	1,075458E+2	3,390625E+2	1,163221E+2	3,390625E+2	1,249057E+2	3,390625E+2	1,336624E+2	3,390625E+2	1,380474E+2
3,406250E+2	1,000692E+2	3,406250E+2	1,100341E+2	3,406250E+2	1,200138E+2	3,406250E+2	1,300755E+2	3,406250E+2	1,398440E+2	3,406250E+2	1,449348E+2	3,406250E+2	9,805929E+1	3,406250E+2	1,075464E+2	3,406250E+2	1,163452E+2	3,406250E+2	1,249590E+2	3,406250E+2	1,337620E+2	3,406250E+2	1,381790E+2
3,421875E+2	1,000645E+2	3,421875E+2	1,100315E+2	3,421875E+2	1,200085E+2	3,421875E+2	1,300477E+2	3,421875E+2	1,398465E+2	3,421875E+2	1,448616E+2	3,421875E+2	9,802366E+1	3,421875E+2	1,075296E+2	3,421875E+2	1,163615E+2	3,421875E+2	1,250088E+2	3,421875E+2	1,338449E+2	3,421875E+2	1,382888E+2
3,437500E+2	1,000598E+2	3,437500E+2	1,100289E+2	3,437500E+2	1,200031E+2	3,437500E+2	1,300198E+2	3,437500E+2	1,398489E+2	3,437500E+2	1,447879E+2	3,437500E+2	9,798787E+1	3,437500E+2	1,075128E+2	3,437500E+2	1,163777E+2	3,437500E+2	1,250583E+2	3,437500E+2	1,339271E+2	3,437500E+2	1,383971E+2
3,453125E+2	1,000536E+2	3,453125E+2	1,100324E+2	3,453125E+2	1,200078E+2	3,453125E+2	1,300053E+2	3,453125E+2	1,399884E+2	3,453125E+2	1,447987E+2	3,453125E+2	9,793184E+1	3,453125E+2	1,074849E+2	3,453125E+2	1,163886E+2	3,453125E+2	1,251100E+2	3,453125E+2	1,340282E+2	3,453125E+2	1,385022E+2
3,468750E+2	1,000473E+2	3,468750E+2	1,100359E+2	3,468750E+2	1,200124E+2	3,468750E+2	1,299908E+2	3,468750E+2	1,401257E+2	3,468750E+2	1,448096E+2	3,468750E+2	9,787544E+1	3,468750E+2	1,074570E+2	3,468750E+2	1,163994E+2	3,468750E+2	1,251615E+2	3,468750E+2	1,341282E+2	3,468750E+2	1,386061E+2
3,484375E+2	1,000187E+2	3,484375E+2	1,100369E+2	3,484375E+2	1,200176E+2	3,484375E+2	1,299902E+2	3,484375E+2	1,401418E+2	3,484375E+2	1,450076E+2	3,484375E+2	9,780452E+1	3,484375E+2	1,074206E+2	3,484375E+2	1,164056E+2	3,484375E+2	1,252100E+2	3,484375E+2	1,342095E+2	3,484375E+2	1,387276E+2
3,500000E+2	9,999001E+1	3,500000E+2	1,100378E+2	3,500000E+2	1,200228E+2	3,500000E+2	1,299896E+2	3,500000E+2	1,401579E+2	3,500000E+2	1,452013E+2	3,500000E+2	9,773302E+1	3,500000E+2	1,073841E+2	3,500000E+2	1,164119E+2	3,500000E+2	1,252582E+2	3,500000E+2	1,342900E+2	3,500000E+2	1,388474E+2
3,515625E+2	9,996704E+1	3,515625E+2	1,100297E+2	3,515625E+2	1,200198E+2	3,515625E+2	1,299994E+2	3,515625E+2	1,401122E+2	3,515625E+2	1,451923E+2	3,515625E+2	9,765740E+1	3,515625E+2	1,073347E+2	3,515625E+2	1,164126E+2	3,515625E+2	1,253049E+2	3,515625E+2	1,343705E+2	3,515625E+2	1,389370E+2
