Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,328125E+2	5,699126E-1	3,328125E+2	-1,586043E+0	3,328125E+2	5,701600E-1	3,328125E+2	-1,550565E+0	3,328125E+2	6,117797E-1	3,328125E+2	-1,573908E+0	3,328125E+2	8,952646E-1	3,328125E+2	-1,731615E+0	3,328125E+2	1,643632E+0	3,328125E+2	-2,105715E+0	3,328125E+2	2,190091E+0	3,328125E+2	-2,265681E+0	3,328125E+2	2,786874E+0	3,328125E+2	-2,585849E+0
3,343750E+2	5,289736E-1	3,343750E+2	-1,636160E+0	3,343750E+2	5,285242E-1	3,343750E+2	-1,537122E+0	3,343750E+2	6,062393E-1	3,343750E+2	-1,570919E+0	3,343750E+2	8,712192E-1	3,343750E+2	-1,736306E+0	3,343750E+2	1,650277E+0	3,343750E+2	-2,080197E+0	3,343750E+2	2,191373E+0	3,343750E+2	-2,346182E+0	3,343750E+2	2,644664E+0	3,343750E+2	-2,718297E+0
3,359375E+2	5,427061E-1	3,359375E+2	-1,517860E+0	3,359375E+2	5,804093E-1	3,359375E+2	-1,460852E+0	3,359375E+2	6,392499E-1	3,359375E+2	-1,506957E+0	3,359375E+2	9,044483E-1	3,359375E+2	-1,679877E+0	3,359375E+2	1,668554E+0	3,359375E+2	-1,976039E+0	3,359375E+2	2,192799E+0	3,359375E+2	-2,226908E+0	3,359375E+2	2,676802E+0	3,359375E+2	-2,671393E+0
3,375000E+2	5,517627E-1	3,375000E+2	-1,490467E+0	3,375000E+2	6,102307E-1	3,375000E+2	-1,462085E+0	3,375000E+2	6,511910E-1	3,375000E+2	-1,493236E+0	3,375000E+2	9,465720E-1	3,375000E+2	-1,635300E+0	3,375000E+2	1,688502E+0	3,375000E+2	-1,928094E+0	3,375000E+2	2,225262E+0	3,375000E+2	-2,179702E+0	3,375000E+2	2,767637E+0	3,375000E+2	-2,570429E+0
3,390625E+2	6,073522E-1	3,390625E+2	-1,447804E+0	3,390625E+2	5,942754E-1	3,390625E+2	-1,417480E+0	3,390625E+2	6,477276E-1	3,390625E+2	-1,457258E+0	3,390625E+2	9,511720E-1	3,390625E+2	-1,581774E+0	3,390625E+2	1,727139E+0	3,390625E+2	-1,936939E+0	3,390625E+2	2,188477E+0	3,390625E+2	-2,165178E+0	3,390625E+2	2,793623E+0	3,390625E+2	-2,450568E+0
3,406250E+2	5,362600E-1	3,406250E+2	-1,404361E+0	3,406250E+2	5,773967E-1	3,406250E+2	-1,400708E+0	3,406250E+2	6,251250E-1	3,406250E+2	-1,430044E+0	3,406250E+2	9,090802E-1	3,406250E+2	-1,578888E+0	3,406250E+2	1,668827E+0	3,406250E+2	-2,003949E+0	3,406250E+2	2,077966E+0	3,406250E+2	-2,216067E+0	3,406250E+2	2,683950E+0	3,406250E+2	-2,447752E+0
3,421875E+2	5,333791E-1	3,421875E+2	-1,384438E+0	3,421875E+2	5,686811E-1	3,421875E+2	-1,405507E+0	3,421875E+2	6,239413E-1	3,421875E+2	-1,433064E+0	3,421875E+2	9,019868E-1	3,421875E+2	-1,609500E+0	3,421875E+2	1,642632E+0	3,421875E+2	-1,987385E+0	3,421875E+2	2,210904E+0	3,421875E+2	-2,175147E+0	3,421875E+2	2,741651E+0	3,421875E+2	-2,479221E+0
3,437500E+2	6,196114E-1	3,437500E+2	-1,377584E+0	3,437500E+2	6,166621E-1	3,437500E+2	-1,375748E+0	3,437500E+2	6,553410E-1	3,437500E+2	-1,395921E+0	3,437500E+2	9,652645E-1	3,437500E+2	-1,550498E+0	3,437500E+2	1,720140E+0	3,437500E+2	-1,882587E+0	3,437500E+2	2,238597E+0	3,437500E+2	-2,140835E+0	3,437500E+2	2,759520E+0	3,437500E+2	-2,462277E+0
3,453125E+2	6,313234E-1	3,453125E+2	-1,370258E+0	3,453125E+2	6,130975E-1	3,453125E+2	-1,326058E+0	3,453125E+2	6,665054E-1	3,453125E+2	-1,364346E+0	3,453125E+2	9,717879E-1	3,453125E+2	-1,531505E+0	3,453125E+2	1,748643E+0	3,453125E+2	-1,900873E+0	3,453125E+2	2,225998E+0	3,453125E+2	-2,099681E+0	3,453125E+2	2,887664E+0	3,453125E+2	-2,398777E+0
3,468750E+2	5,894759E-1	3,468750E+2	-1,324618E+0	3,468750E+2	5,706495E-1	3,468750E+2	-1,336376E+0	3,468750E+2	6,594155E-1	3,468750E+2	-1,362528E+0	3,468750E+2	9,424904E-1	3,468750E+2	-1,535216E+0	3,468750E+2	1,755170E+0	3,468750E+2	-1,936875E+0	3,468750E+2	2,232206E+0	3,468750E+2	-2,091309E+0	3,468750E+2	2,923125E+0	3,468750E+2	-2,352460E+0
