Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,765625E+2	5,319937E+1	3,765625E+2	6,309054E+1	3,765625E+2	7,324857E+1	3,765625E+2	8,495896E+1	3,765625E+2	9,626638E+1	3,765625E+2	9,967284E+1	3,765625E+2	1,056076E+2
3,781250E+2	5,329763E+1	3,781250E+2	6,247757E+1	3,781250E+2	7,415053E+1	3,781250E+2	8,497406E+1	3,781250E+2	9,521869E+1	3,781250E+2	9,941655E+1	3,781250E+2	1,045219E+2
3,796875E+2	5,422666E+1	3,796875E+2	6,213856E+1	3,796875E+2	7,439119E+1	3,796875E+2	8,599006E+1	3,796875E+2	9,475509E+1	3,796875E+2	1,007624E+2	3,796875E+2	1,037893E+2
3,812500E+2	5,395029E+1	3,812500E+2	6,338388E+1	3,812500E+2	7,446250E+1	3,812500E+2	8,502460E+1	3,812500E+2	9,550663E+1	3,812500E+2	1,013641E+2	3,812500E+2	1,051784E+2
3,828125E+2	5,251199E+1	3,828125E+2	6,329833E+1	3,828125E+2	7,348220E+1	3,828125E+2	8,506858E+1	3,828125E+2	9,504944E+1	3,828125E+2	1,017524E+2	3,828125E+2	1,053099E+2
3,843750E+2	5,273075E+1	3,843750E+2	6,412063E+1	3,843750E+2	7,436298E+1	3,843750E+2	8,597660E+1	3,843750E+2	9,528153E+1	3,843750E+2	1,019146E+2	3,843750E+2	1,047744E+2
3,859375E+2	5,254459E+1	3,859375E+2	6,269902E+1	3,859375E+2	7,523330E+1	3,859375E+2	8,546563E+1	3,859375E+2	9,553808E+1	3,859375E+2	1,021321E+2	3,859375E+2	1,058172E+2
3,875000E+2	5,393993E+1	3,875000E+2	6,357269E+1	3,875000E+2	7,514536E+1	3,875000E+2	8,579266E+1	3,875000E+2	9,623163E+1	3,875000E+2	1,023605E+2	3,875000E+2	1,058942E+2
3,890625E+2	5,396608E+1	3,890625E+2	6,405447E+1	3,890625E+2	7,553695E+1	3,890625E+2	8,586912E+1	3,890625E+2	9,694452E+1	3,890625E+2	1,013755E+2	3,890625E+2	1,064738E+2
3,906250E+2	5,411556E+1	3,906250E+2	6,438990E+1	3,906250E+2	7,597626E+1	3,906250E+2	8,673203E+1	3,906250E+2	9,821058E+1	3,906250E+2	1,017189E+2	3,906250E+2	1,066239E+2
