Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,515625E+2	4,029508E-1	3,515625E+2	4,717745E-1	3,515625E+2	4,561521E-1	3,515625E+2	3,611367E-1	3,515625E+2	2,871589E-1	3,515625E+2	2,707077E-1	3,515625E+2	3,393179E-1	3,515625E+2	3,808389E-1	3,515625E+2	4,675899E-1	3,515625E+2	4,520070E-1	3,515625E+2	3,662646E-1	3,515625E+2	3,293965E-1
3,531250E+2	3,972967E-1	3,531250E+2	4,662334E-1	3,531250E+2	4,564588E-1	3,531250E+2	3,789317E-1	3,531250E+2	2,881895E-1	3,531250E+2	2,713676E-1	3,531250E+2	3,364336E-1	3,531250E+2	3,755209E-1	3,531250E+2	4,638330E-1	3,531250E+2	4,518770E-1	3,531250E+2	3,675288E-1	3,531250E+2	3,307118E-1
3,546875E+2	3,918017E-1	3,546875E+2	4,609452E-1	3,546875E+2	4,579799E-1	3,546875E+2	3,791164E-1	3,546875E+2	3,003975E-1	3,546875E+2	2,810525E-1	3,546875E+2	3,339744E-1	3,546875E+2	3,706749E-1	3,546875E+2	4,596968E-1	3,546875E+2	4,518762E-1	3,546875E+2	3,689536E-1	3,546875E+2	3,323601E-1
3,562500E+2	3,859947E-1	3,562500E+2	4,552987E-1	3,562500E+2	4,593261E-1	3,562500E+2	3,792596E-1	3,562500E+2	3,117004E-1	3,562500E+2	2,896645E-1	3,562500E+2	3,312011E-1	3,562500E+2	3,654584E-1	3,562500E+2	4,552943E-1	3,562500E+2	4,517423E-1	3,562500E+2	3,702667E-1	3,562500E+2	3,339067E-1
3,578125E+2	3,800907E-1	3,578125E+2	4,510407E-1	3,578125E+2	4,592015E-1	3,578125E+2	3,794004E-1	3,578125E+2	3,116695E-1	3,578125E+2	2,895424E-1	3,578125E+2	3,284753E-1	3,578125E+2	3,606096E-1	3,578125E+2	4,512586E-1	3,578125E+2	4,517705E-1	3,578125E+2	3,714529E-1	3,578125E+2	3,353584E-1
3,593750E+2	3,737665E-1	3,593750E+2	4,465435E-1	3,593750E+2	4,589826E-1	3,593750E+2	3,795003E-1	3,593750E+2	3,116081E-1	3,593750E+2	2,893896E-1	3,593750E+2	3,254887E-1	3,593750E+2	3,554081E-1	3,593750E+2	4,469664E-1	3,593750E+2	4,516741E-1	3,593750E+2	3,725369E-1	3,593750E+2	3,367141E-1
3,609375E+2	3,686529E-1	3,609375E+2	4,429314E-1	3,609375E+2	4,586682E-1	3,609375E+2	3,799747E-1	3,609375E+2	3,117861E-1	3,609375E+2	2,901247E-1	3,609375E+2	3,237576E-1	3,609375E+2	3,506683E-1	3,609375E+2	4,432043E-1	3,609375E+2	4,516792E-1	3,609375E+2	3,738539E-1	3,609375E+2	3,382841E-1
3,625000E+2	3,631209E-1	3,625000E+2	4,391393E-1	3,625000E+2	4,582766E-1	3,625000E+2	3,804109E-1	3,625000E+2	3,119339E-1	3,625000E+2	2,908318E-1	3,625000E+2	3,218438E-1	3,625000E+2	3,455944E-1	3,625000E+2	4,392064E-1	3,625000E+2	4,515644E-1	3,625000E+2	3,750859E-1	3,625000E+2	3,397751E-1
3,640625E+2	3,595631E-1	3,640625E+2	4,354077E-1	3,640625E+2	4,582788E-1	3,640625E+2	3,815849E-1	3,640625E+2	3,126466E-1	3,640625E+2	2,915769E-1	3,640625E+2	3,189980E-1	3,640625E+2	3,417988E-1	3,640625E+2	4,356732E-1	3,640625E+2	4,514515E-1	3,640625E+2	3,760690E-1	3,640625E+2	3,409213E-1
3,656250E+2	3,557658E-1	3,656250E+2	4,315066E-1	3,656250E+2	4,581745E-1	3,656250E+2	3,827169E-1	3,656250E+2	3,133312E-1	3,656250E+2	2,922937E-1	3,656250E+2	3,159563E-1	3,656250E+2	3,377299E-1	3,656250E+2	4,319251E-1	3,656250E+2	4,512286E-1	3,656250E+2	3,769303E-1	3,656250E+2	3,419522E-1
