Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
8,953125E+2	1,011207E+2
8,968750E+2	1,010331E+2
8,984375E+2	1,008857E+2
9,000000E+2	1,007357E+2
9,015625E+2	1,005489E+2
9,031250E+2	1,003580E+2
9,046875E+2	1,001824E+2
9,062500E+2	1,000033E+2
9,078125E+2	9,982713E+1
9,093750E+2	9,964736E+1
9,109375E+2	9,941933E+1
9,125000E+2	9,918514E+1
9,140625E+2	9,888283E+1
9,156250E+2	9,856961E+1
9,171875E+2	9,849476E+1
9,187500E+2	9,841927E+1
9,203125E+2	9,883253E+1
9,218750E+2	9,922702E+1
9,234375E+2	9,956627E+1
9,250000E+2	9,989276E+1
9,265625E+2	1,001646E+2
9,281250E+2	1,004282E+2
9,296875E+2	1,006343E+2
9,312500E+2	1,008356E+2
9,328125E+2	1,009775E+2
9,343750E+2	1,011172E+2
9,359375E+2	1,011950E+2
9,375000E+2	1,012722E+2
9,390625E+2	1,012895E+2
9,406250E+2	1,013068E+2
9,421875E+2	1,012572E+2
9,437500E+2	1,012074E+2
9,453125E+2	1,010924E+2
9,468750E+2	1,009759E+2
9,484375E+2	1,007968E+2
9,500000E+2	1,006140E+2
9,515625E+2	1,003678E+2
9,531250E+2	1,001143E+2
9,546875E+2	9,979919E+1
9,562500E+2	9,947219E+1
9,578125E+2	9,908520E+1
9,593750E+2	9,868016E+1
9,609375E+2	9,821819E+1
9,625000E+2	9,773025E+1
9,640625E+2	1,008003E+2
9,656250E+2	1,030641E+2
9,671875E+2	1,031596E+2
9,687500E+2	1,032540E+2
9,703125E+2	1,032974E+2
9,718750E+2	1,033405E+2
9,734375E+2	1,033345E+2
9,750000E+2	1,033286E+2
9,765625E+2	1,032746E+2
9,781250E+2	1,032204E+2
9,796875E+2	1,031119E+2
9,812500E+2	1,030020E+2
9,828125E+2	1,028490E+2
9,843750E+2	1,026932E+2
9,859375E+2	1,024823E+2
9,875000E+2	1,022662E+2
9,890625E+2	1,019962E+2
9,906250E+2	1,017175E+2
9,921875E+2	1,013911E+2
9,937500E+2	1,010519E+2
9,953125E+2	1,006665E+2
9,968750E+2	1,002633E+2
9,984375E+2	9,982211E+1
1,000000E+3	9,935735E+1
1,001562E+3	9,886140E+1
1,003125E+3	9,833541E+1
1,004687E+3	9,778672E+1
1,006250E+3	9,720101E+1
1,007812E+3	9,868167E+1
1,009375E+3	9,994631E+1
1,010937E+3	1,000335E+2
1,012500E+3	1,001198E+2
1,014062E+3	1,001509E+2
1,015625E+3	1,001820E+2
1,017187E+3	1,018379E+2
1,018750E+3	1,032281E+2
1,020312E+3	1,037553E+2
1,021875E+3	1,042524E+2
1,023437E+3	1,047073E+2
1,025000E+3	1,051396E+2
1,026562E+3	1,055118E+2
1,028125E+3	1,058687E+2
1,029687E+3	1,061594E+2
1,031250E+3	1,064407E+2
1,032812E+3	1,066469E+2
1,034375E+3	1,068483E+2
1,035937E+3	1,069742E+2
1,037500E+3	1,070983E+2
1,039062E+3	1,071470E+2
1,040625E+3	1,071955E+2
1,042187E+3	1,071719E+2
1,043750E+3	1,071481E+2
1,045312E+3	1,070544E+2
1,046875E+3	1,069596E+2
1,048437E+3	1,067983E+2
1,050000E+3	1,066340E+2
1,051562E+3	1,064108E+2
1,053125E+3	1,061818E+2
1,054687E+3	1,058982E+2
1,056250E+3	1,056051E+2
1,057812E+3	1,052642E+2
1,059375E+3	1,049095E+2
1,060937E+3	1,045144E+2
1,062500E+3	1,041005E+2
1,064062E+3	1,036600E+2
1,065625E+3	1,031959E+2
1,067187E+3	1,027050E+2
1,068750E+3	1,021848E+2
1,070312E+3	1,016560E+2
1,071875E+3	1,010930E+2
1,073437E+3	1,005111E+2
1,075000E+3	9,988742E+1
1,076562E+3	9,926484E+1
1,078125E+3	9,859417E+1
1,079687E+3	9,793537E+1
1,081250E+3	9,722247E+1
1,082812E+3	9,820613E+1
1,084375E+3	9,908965E+1
1,085937E+3	9,908340E+1
1,087500E+3	9,907715E+1
1,089062E+3	9,901232E+1
1,090625E+3	9,894700E+1
1,092187E+3	9,993065E+1
1,093750E+3	1,008142E+2
1,095312E+3	1,010244E+2
1,096875E+3	1,012297E+2
1,098437E+3	1,013499E+2
1,100000E+3	1,014686E+2
1,101562E+3	1,013010E+2
1,103125E+3	1,011301E+2
1,104687E+3	1,018604E+2
1,106250E+3	1,025341E+2
1,107812E+3	1,031312E+2
1,109375E+3	1,036898E+2
1,110937E+3	1,045793E+2
1,112500E+3	1,053861E+2
1,114062E+3	1,062263E+2
1,115625E+3	1,069923E+2
1,117187E+3	1,077704E+2
1,118750E+3	1,084845E+2
1,120312E+3	1,091816E+2
1,121875E+3	1,098268E+2
1,123437E+3	1,104313E+2
1,125000E+3	1,109965E+2
1,126562E+3	1,115040E+2
1,128125E+3	1,119835E+2
1,129687E+3	1,123999E+2
1,131250E+3	1,127973E+2
1,132812E+3	1,131284E+2
1,134375E+3	1,134474E+2
1,135937E+3	1,136985E+2
1,137500E+3	1,139426E+2
1,139062E+3	1,141182E+2
1,140625E+3	1,142903E+2
1,142187E+3	1,143955E+2
1,143750E+3	1,144994E+2
1,145312E+3	1,145386E+2
1,146875E+3	1,145776E+2
1,148437E+3	1,145552E+2
1,150000E+3	1,145326E+2
1,151562E+3	1,144511E+2
1,153125E+3	1,143687E+2
1,154687E+3	1,142339E+2
1,156250E+3	1,140970E+2
1,157812E+3	1,139095E+2
1,159375E+3	1,137179E+2
1,160937E+3	1,134818E+2
1,162500E+3	1,132391E+2
1,164062E+3	1,129585E+2
1,165625E+3	1,126685E+2
1,167187E+3	1,123423E+2
1,168750E+3	1,120034E+2
1,170312E+3	1,116341E+2
1,171875E+3	1,112483E+2
1,173437E+3	1,108387E+2
1,175000E+3	1,104088E+2
1,176562E+3	1,099587E+2
1,178125E+3	1,094839E+2
1,179687E+3	1,089938E+2
1,181250E+3	1,084743E+2
1,182812E+3	1,079490E+2
1,184375E+3	1,073898E+2
1,185937E+3	1,068302E+2
1,187500E+3	1,062320E+2
1,189062E+3	1,056407E+2
1,190625E+3	1,050061E+2
1,192187E+3	1,043904E+2
1,193750E+3	1,037278E+2
1,195312E+3	1,030914E+2
1,196875E+3	1,024047E+2
1,198437E+3	1,017558E+2
1,200000E+3	1,010545E+2
1,201562E+3	1,003997E+2
1,203125E+3	9,969147E+1
1,204687E+3	9,903567E+1
1,206250E+3	9,832629E+1
1,207812E+3	9,767025E+1
1,209375E+3	9,696057E+1
1,210937E+3	9,629462E+1
1,212500E+3	9,557334E+1
1,214062E+3	9,529762E+1
1,215625E+3	9,501286E+1
1,217187E+3	9,527228E+1
1,218750E+3	9,552417E+1
1,220312E+3	9,570343E+1
1,221875E+3	9,587906E+1
1,223437E+3	9,599066E+1
1,225000E+3	9,610085E+1
1,226562E+3	9,614699E+1
1,228125E+3	9,619289E+1
1,229687E+3	9,617397E+1
1,231250E+3	9,615502E+1
1,232812E+3	9,580324E+1
1,234375E+3	9,543662E+1
1,235937E+3	9,598665E+1
1,237500E+3	9,650391E+1
1,239062E+3	9,698709E+1
1,240625E+3	9,744480E+1
1,242187E+3	9,786521E+1
1,243750E+3	9,826621E+1
1,245312E+3	9,862260E+1
1,246875E+3	9,896494E+1
1,248437E+3	9,925441E+1
1,250000E+3	9,953454E+1
1,251562E+3	9,975581E+1
1,253125E+3	9,997158E+1
1,254687E+3	1,001260E+2
1,256250E+3	1,002777E+2
1,257812E+3	1,003674E+2
1,259375E+3	1,004562E+2
1,260937E+3	1,004845E+2
1,262500E+3	1,005126E+2
1,264062E+3	1,004812E+2
1,265625E+3	1,004497E+2
1,267187E+3	1,003573E+2
1,268750E+3	1,002639E+2
1,270312E+3	1,001124E+2
1,271875E+3	9,995814E+1
1,273437E+3	9,974629E+1
1,275000E+3	9,952915E+1
1,276562E+3	9,938751E+1
1,278125E+3	9,924353E+1
1,279687E+3	9,928324E+1
1,281250E+3	9,932276E+1
1,282812E+3	9,933705E+1
1,284375E+3	9,935131E+1
1,285937E+3	9,933645E+1
1,287500E+3	9,932157E+1
1,289062E+3	9,928702E+1
1,290625E+3	9,925233E+1
1,292187E+3	9,937978E+1
1,293750E+3	9,950539E+1
1,295312E+3	9,976716E+1
1,296875E+3	1,000213E+2
1,298437E+3	1,002129E+2
1,300000E+3	1,004003E+2
1,301562E+3	1,005220E+2
1,303125E+3	1,006419E+2
1,304687E+3	1,006956E+2
1,306250E+3	1,007490E+2
1,307812E+3	1,007375E+2
1,309375E+3	1,007259E+2
1,310937E+3	1,006505E+2
1,312500E+3	1,005744E+2
1,314062E+3	1,004352E+2
1,315625E+3	1,002937E+2
1,317187E+3	1,000903E+2
1,318750E+3	9,988209E+1
1,320312E+3	9,961088E+1
1,321875E+3	9,933094E+1
1,323437E+3	9,898757E+1
1,325000E+3	9,863007E+1
1,326562E+3	9,867616E+1
1,328125E+3	9,872201E+1
1,329687E+3	9,879232E+1
1,331250E+3	9,886207E+1
1,332812E+3	9,888022E+1
1,334375E+3	9,889832E+1
1,335937E+3	9,886049E+1
1,337500E+3	9,882250E+1
1,339062E+3	9,872691E+1
1,340625E+3	9,863026E+1
1,342187E+3	9,847601E+1
1,343750E+3	9,831896E+1
1,345312E+3	9,810508E+1
1,346875E+3	9,788580E+1
1,348437E+3	9,761211E+1
1,350000E+3	9,732952E+1
1,351562E+3	9,699713E+1
1,353125E+3	9,665151E+1
1,354687E+3	9,626214E+1
1,356250E+3	9,585449E+1
1,357812E+3	9,541782E+1
1,359375E+3	9,495803E+1
1,360937E+3	9,452293E+1
1,362500E+3	9,406489E+1
1,364062E+3	9,370980E+1
1,365625E+3	9,333958E+1
1,367187E+3	9,302908E+1
1,368750E+3	9,270707E+1
1,370312E+3	9,241057E+1
1,371875E+3	9,210358E+1
1,373437E+3	9,189822E+1
1,375000E+3	9,168788E+1
1,376562E+3	9,155692E+1
1,378125E+3	9,142395E+1
1,379687E+3	9,144224E+1
1,381250E+3	9,146050E+1
1,382812E+3	9,153029E+1
1,384375E+3	9,159953E+1
1,385937E+3	9,167866E+1
1,387500E+3	9,175708E+1
1,389062E+3	9,184827E+1
1,390625E+3	9,193851E+1
1,392187E+3	9,203853E+1
1,393750E+3	9,213740E+1
1,395312E+3	9,221596E+1
1,396875E+3	9,229382E+1
1,398437E+3	9,288610E+1
1,400000E+3	9,344056E+1
1,401562E+3	9,394272E+1
1,403125E+3	9,441742E+1
1,404687E+3	9,483800E+1
1,406250E+3	9,523915E+1
1,407812E+3	9,558618E+1
1,409375E+3	9,591988E+1
1,410937E+3	9,619949E+1
1,412500E+3	9,647037E+1
1,414062E+3	9,668624E+1
1,415625E+3	9,689688E+1
1,417187E+3	9,705151E+1
1,418750E+3	9,720344E+1
1,420312E+3	9,729940E+1
1,421875E+3	9,739431E+1
1,423437E+3	9,743524E+1
1,425000E+3	9,747598E+1
1,426562E+3	9,747223E+1
1,428125E+3	9,746848E+1
1,429687E+3	9,743118E+1
1,431250E+3	9,739373E+1
1,432812E+3	9,732721E+1
1,434375E+3	9,726018E+1
1,435937E+3	9,716709E+1
1,437500E+3	9,707300E+1
1,439062E+3	9,695207E+1
1,440625E+3	9,682943E+1
1,442187E+3	9,667175E+1
1,443750E+3	9,651114E+1
1,445312E+3	9,630658E+1
1,446875E+3	9,609707E+1
1,448437E+3	9,584011E+1
1,450000E+3	9,557532E+1
1,451562E+3	9,526177E+1
1,453125E+3	9,493648E+1
1,454687E+3	9,455958E+1
1,456250E+3	9,416557E+1
1,457812E+3	9,372128E+1
1,459375E+3	9,325303E+1
1,460937E+3	9,273516E+1
1,462500E+3	9,218445E+1
1,464062E+3	9,158827E+1
1,465625E+3	9,094813E+1
1,467187E+3	9,026610E+1
1,468750E+3	8,952591E+1
1,470312E+3	8,875780E+1
1,471875E+3	8,791513E+1
1,473437E+3	8,708498E+1
1,475000E+3	8,616703E+1
1,476562E+3	8,666381E+1
1,478125E+3	8,713371E+1
1,479687E+3	8,795429E+1
1,481250E+3	8,870399E+1
1,482812E+3	8,946864E+1
1,484375E+3	9,017139E+1
1,485937E+3	9,088252E+1
1,487500E+3	9,153980E+1
1,489062E+3	9,219694E+1
1,490625E+3	9,280785E+1
1,492187E+3	9,340929E+1
1,493750E+3	9,397176E+1
1,495312E+3	9,451981E+1
1,496875E+3	9,503532E+1
1,498437E+3	9,552948E+1
1,500000E+3	9,599703E+1
1,501562E+3	9,643777E+1
1,503125E+3	9,685722E+1
1,504687E+3	9,724494E+1
1,506250E+3	9,761610E+1
1,507812E+3	9,795093E+1
1,509375E+3	9,827334E+1
1,510937E+3	9,855535E+1
1,512500E+3	9,882850E+1
1,514062E+3	9,905658E+1
1,515625E+3	9,927882E+1
1,517187E+3	9,945489E+1
1,518750E+3	9,962745E+1
1,520312E+3	9,975038E+1
1,521875E+3	9,987158E+1
1,523437E+3	9,994013E+1
1,525000E+3	1,000081E+2
1,526562E+3	1,000233E+2
1,528125E+3	1,000384E+2
1,529687E+3	9,999991E+1
1,531250E+3	9,996125E+1
1,532812E+3	9,986778E+1
1,534375E+3	9,977330E+1
1,535937E+3	9,962649E+1
1,537500E+3	9,947715E+1
1,539062E+3	9,927566E+1
1,540625E+3	9,906938E+1
1,542187E+3	9,881316E+1
1,543750E+3	9,854915E+1
1,545312E+3	9,823967E+1
1,546875E+3	9,791876E+1
1,548437E+3	9,755468E+1
1,550000E+3	9,717467E+1
1,551562E+3	9,675612E+1
1,553125E+3	9,631637E+1
1,554687E+3	9,584417E+1
1,556250E+3	9,534482E+1
1,557812E+3	9,481876E+1
1,559375E+3	9,425877E+1
1,560937E+3	9,367965E+1
1,562500E+3	9,305915E+1
1,564062E+3	9,242671E+1
1,565625E+3	9,174457E+1
1,567187E+3	9,105983E+1
1,568750E+3	9,031644E+1
1,570312E+3	8,989762E+1
1,571875E+3	8,945757E+1
1,573437E+3	9,037553E+1
1,575000E+3	9,120568E+1
1,576562E+3	9,202724E+1
1,578125E+3	9,277777E+1
1,579687E+3	9,348876E+1
1,581250E+3	9,414593E+1
1,582812E+3	9,475613E+1
1,584375E+3	9,532627E+1
1,585937E+3	9,584530E+1
1,587500E+3	9,633506E+1
1,589062E+3	9,677069E+1
1,590625E+3	9,718552E+1
1,592187E+3	9,754449E+1
1,593750E+3	9,788920E+1
1,595312E+3	9,817565E+1
1,596875E+3	9,845296E+1
1,598437E+3	9,867082E+1
1,600000E+3	9,888334E+1
1,601562E+3	9,903487E+1
1,603125E+3	9,918379E+1
1,604687E+3	9,927128E+1
1,606250E+3	9,935789E+1
1,607812E+3	9,938208E+1
1,609375E+3	9,940620E+1
1,610937E+3	9,936884E+1
1,612500E+3	9,933132E+1
1,614062E+3	9,923415E+1
1,615625E+3	9,913588E+1
1,617187E+3	9,898218E+1
1,618750E+3	9,882571E+1
1,620312E+3	9,862680E+1
1,621875E+3	9,842322E+1
1,623437E+3	9,822256E+1
1,625000E+3	9,801715E+1
1,626562E+3	9,782822E+1
1,628125E+3	9,763509E+1
1,629687E+3	9,724171E+1
1,631250E+3	9,682968E+1
1,632812E+3	9,724550E+1
1,634375E+3	9,764233E+1
1,635937E+3	9,798083E+1
1,637500E+3	9,830663E+1
1,639062E+3	9,857264E+1
1,640625E+3	9,883075E+1
1,642187E+3	9,902919E+1
1,643750E+3	9,922320E+1
1,645312E+3	9,935636E+1
1,646875E+3	9,948750E+1
1,648437E+3	9,955444E+1
1,650000E+3	9,962087E+1
1,651562E+3	9,962555E+1
1,653125E+3	9,963023E+1
1,654687E+3	9,957336E+1
