Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,671875E+2	5,937278E+1	3,671875E+2	6,939873E+1	3,671875E+2	7,938320E+1	3,671875E+2	8,908415E+1	3,671875E+2	9,764475E+1	3,671875E+2	1,033074E+2	3,671875E+2	1,060569E+2
3,687500E+2	5,936792E+1	3,687500E+2	6,857365E+1	3,687500E+2	7,942827E+1	3,687500E+2	8,759520E+1	3,687500E+2	9,729268E+1	3,687500E+2	1,032288E+2	3,687500E+2	1,055921E+2
3,703125E+2	5,947878E+1	3,703125E+2	6,857442E+1	3,703125E+2	7,950873E+1	3,703125E+2	8,862211E+1	3,703125E+2	9,706687E+1	3,703125E+2	1,029494E+2	3,703125E+2	1,064278E+2
3,718750E+2	6,042649E+1	3,718750E+2	6,954981E+1	3,718750E+2	7,947077E+1	3,718750E+2	8,896037E+1	3,718750E+2	9,660466E+1	3,718750E+2	1,018776E+2	3,718750E+2	1,061106E+2
3,734375E+2	5,949311E+1	3,734375E+2	6,916485E+1	3,734375E+2	7,907352E+1	3,734375E+2	8,926617E+1	3,734375E+2	9,790155E+1	3,734375E+2	1,016475E+2	3,734375E+2	1,057828E+2
3,750000E+2	5,796464E+1	3,750000E+2	6,743100E+1	3,750000E+2	8,017261E+1	3,750000E+2	8,942687E+1	3,750000E+2	9,740115E+1	3,750000E+2	1,021903E+2	3,750000E+2	1,061603E+2
3,765625E+2	5,760740E+1	3,765625E+2	6,642766E+1	3,765625E+2	7,957198E+1	3,765625E+2	9,024580E+1	3,765625E+2	9,634860E+1	3,765625E+2	1,022594E+2	3,765625E+2	1,048259E+2
3,781250E+2	5,869077E+1	3,781250E+2	6,648323E+1	3,781250E+2	7,967148E+1	3,781250E+2	8,984754E+1	3,781250E+2	9,647080E+1	3,781250E+2	1,025240E+2	3,781250E+2	1,057886E+2
3,796875E+2	5,841537E+1	3,796875E+2	6,840592E+1	3,796875E+2	7,989991E+1	3,796875E+2	8,932081E+1	3,796875E+2	9,778706E+1	3,796875E+2	1,033152E+2	3,796875E+2	1,058525E+2
3,812500E+2	5,833929E+1	3,812500E+2	6,858268E+1	3,812500E+2	7,954956E+1	3,812500E+2	8,973045E+1	3,812500E+2	9,791141E+1	3,812500E+2	1,028310E+2	3,812500E+2	1,073949E+2
3,828125E+2	5,816368E+1	3,828125E+2	6,736259E+1	3,828125E+2	7,925041E+1	3,828125E+2	9,005137E+1	3,828125E+2	9,797084E+1	3,828125E+2	1,031634E+2	3,828125E+2	1,075172E+2
3,843750E+2	5,925942E+1	3,843750E+2	6,819442E+1	3,843750E+2	7,886398E+1	3,843750E+2	8,992024E+1	3,843750E+2	9,948876E+1	3,843750E+2	1,041353E+2	3,843750E+2	1,081564E+2
3,859375E+2	5,932497E+1	3,859375E+2	6,810925E+1	3,859375E+2	7,817055E+1	3,859375E+2	9,011318E+1	3,859375E+2	9,912060E+1	3,859375E+2	1,040999E+2	3,859375E+2	1,089089E+2
3,875000E+2	5,873285E+1	3,875000E+2	6,739114E+1	3,875000E+2	7,893423E+1	3,875000E+2	9,082285E+1	3,875000E+2	9,887946E+1	3,875000E+2	1,051117E+2	3,875000E+2	1,081683E+2
3,890625E+2	5,785689E+1	3,890625E+2	6,745981E+1	3,890625E+2	7,873176E+1	3,890625E+2	9,003158E+1	3,890625E+2	9,898399E+1	3,890625E+2	1,034929E+2	3,890625E+2	1,082205E+2
3,906250E+2	5,737324E+1	3,906250E+2	6,784976E+1	3,906250E+2	7,882870E+1	3,906250E+2	8,949230E+1	3,906250E+2	9,873479E+1	3,906250E+2	1,042883E+2	3,906250E+2	1,081254E+2
3,921875E+2	5,836172E+1	3,921875E+2	6,758830E+1	3,921875E+2	7,920655E+1	3,921875E+2	9,040596E+1	3,921875E+2	9,892592E+1	3,921875E+2	1,049029E+2	3,921875E+2	1,077665E+2
3,937500E+2	5,667895E+1	3,937500E+2	6,802079E+1	3,937500E+2	7,976795E+1	3,937500E+2	9,055759E+1	3,937500E+2	9,968679E+1	3,937500E+2	1,050385E+2	3,937500E+2	1,083896E+2
3,953125E+2	5,775430E+1	3,953125E+2	6,886546E+1	3,953125E+2	7,903541E+1	3,953125E+2	9,000542E+1	3,953125E+2	9,971417E+1	3,953125E+2	1,043851E+2	3,953125E+2	1,082592E+2
3,968750E+2	5,768796E+1	3,968750E+2	6,854333E+1	3,968750E+2	7,974619E+1	3,968750E+2	8,967803E+1	3,968750E+2	1,000690E+2	3,968750E+2	1,043629E+2	3,968750E+2	1,092584E+2
3,984375E+2	5,722543E+1	3,984375E+2	6,829790E+1	3,984375E+2	7,801939E+1	3,984375E+2	9,128774E+1	3,984375E+2	9,988702E+1	3,984375E+2	1,052141E+2	3,984375E+2	1,094300E+2
