Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,375000E+2	3,231873E-1	3,375000E+2	3,317672E-1	3,375000E+2	3,517526E-1	3,375000E+2	4,426808E-1	3,375000E+2	5,799419E-1	3,375000E+2	5,854888E-1	3,375000E+2	3,522888E-1	3,375000E+2	3,287576E-1	3,375000E+2	3,495643E-1	3,375000E+2	4,024760E-1	3,375000E+2	5,344278E-1	3,375000E+2	5,899535E-1
3,390625E+2	3,283232E-1	3,390625E+2	3,353448E-1	3,390625E+2	3,555927E-1	3,390625E+2	4,467008E-1	3,390625E+2	5,847106E-1	3,390625E+2	5,896188E-1	3,390625E+2	3,649481E-1	3,390625E+2	3,367591E-1	3,390625E+2	3,558831E-1	3,390625E+2	4,088990E-1	3,390625E+2	5,406255E-1	3,390625E+2	5,950621E-1
3,406250E+2	3,333092E-1	3,406250E+2	3,387973E-1	3,406250E+2	3,593087E-1	3,406250E+2	4,505718E-1	3,406250E+2	5,892531E-1	3,406250E+2	5,935169E-1	3,406250E+2	3,772312E-1	3,406250E+2	3,445160E-1	3,406250E+2	3,619898E-1	3,406250E+2	4,151118E-1	3,406250E+2	5,466313E-1	3,406250E+2	6,000183E-1
3,421875E+2	3,375543E-1	3,421875E+2	3,428973E-1	3,421875E+2	3,645501E-1	3,421875E+2	4,549661E-1	3,421875E+2	5,934608E-1	3,421875E+2	5,974165E-1	3,421875E+2	3,825392E-1	3,421875E+2	3,557748E-1	3,421875E+2	3,687495E-1	3,421875E+2	4,217959E-1	3,421875E+2	5,531563E-1	3,421875E+2	6,055841E-1
3,437500E+2	3,416164E-1	3,437500E+2	3,468279E-1	3,437500E+2	3,695858E-1	3,437500E+2	4,591750E-1	3,437500E+2	5,974913E-1	3,437500E+2	6,011456E-1	3,437500E+2	3,876460E-1	3,437500E+2	3,666680E-1	3,437500E+2	3,752484E-1	3,437500E+2	4,282263E-1	3,437500E+2	5,594628E-1	3,437500E+2	6,109751E-1
3,453125E+2	3,472421E-1	3,453125E+2	3,543682E-1	3,453125E+2	3,767294E-1	3,453125E+2	4,650525E-1	3,453125E+2	6,019137E-1	3,453125E+2	6,056034E-1	3,453125E+2	3,869074E-1	3,453125E+2	3,756006E-1	3,453125E+2	3,819641E-1	3,453125E+2	4,348523E-1	3,453125E+2	5,661646E-1	3,453125E+2	6,167131E-1
3,468750E+2	3,525898E-1	3,468750E+2	3,615946E-1	3,468750E+2	3,835826E-1	3,468750E+2	4,706724E-1	3,468750E+2	6,061676E-1	3,468750E+2	6,098871E-1	3,468750E+2	3,860158E-1	3,468750E+2	3,842321E-1	3,468750E+2	3,884137E-1	3,468750E+2	4,412237E-1	3,468750E+2	5,726364E-1	3,468750E+2	6,222707E-1
3,484375E+2	3,592400E-1	3,484375E+2	3,694075E-1	3,484375E+2	3,901903E-1	3,484375E+2	4,771160E-1	3,484375E+2	6,115489E-1	3,484375E+2	6,151709E-1	3,484375E+2	3,845012E-1	3,484375E+2	3,905322E-1	3,484375E+2	3,953192E-1	3,484375E+2	4,481925E-1	3,484375E+2	5,792296E-1	3,484375E+2	6,277781E-1
3,500000E+2	3,656429E-1	3,500000E+2	3,769098E-1	3,500000E+2	3,965271E-1	3,500000E+2	4,832813E-1	3,500000E+2	6,167198E-1	3,500000E+2	6,202702E-1	3,500000E+2	3,828219E-1	3,500000E+2	3,965781E-1	3,500000E+2	4,019331E-1	3,500000E+2	4,548897E-1	3,500000E+2	5,855952E-1	3,500000E+2	6,331131E-1
3,515625E+2	3,735332E-1	3,515625E+2	3,839811E-1	3,515625E+2	4,032987E-1	3,515625E+2	4,896193E-1	3,515625E+2	6,225211E-1	3,515625E+2	6,257909E-1	3,515625E+2	3,874896E-1	3,515625E+2	4,021750E-1	3,515625E+2	4,093212E-1	3,515625E+2	4,625943E-1	3,515625E+2	5,925021E-1	3,515625E+2	6,386116E-1
