Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,437500E+2	9,999559E+1	3,437500E+2	1,099695E+2	3,437500E+2	1,199934E+2	3,437500E+2	1,299868E+2	3,437500E+2	1,400246E+2	3,437500E+2	1,449982E+2	3,437500E+2	9,665409E+1	3,437500E+2	1,065912E+2	3,437500E+2	1,165248E+2	3,437500E+2	1,263336E+2	3,437500E+2	1,358658E+2	3,437500E+2	1,404027E+2
3,453125E+2	1,000077E+2	3,453125E+2	1,099753E+2	3,453125E+2	1,199978E+2	3,453125E+2	1,299855E+2	3,453125E+2	1,400086E+2	3,453125E+2	1,449887E+2	3,453125E+2	9,670813E+1	3,453125E+2	1,066762E+2	3,453125E+2	1,166155E+2	3,453125E+2	1,264224E+2	3,453125E+2	1,359508E+2	3,453125E+2	1,404842E+2
3,468750E+2	1,000198E+2	3,468750E+2	1,099810E+2	3,468750E+2	1,200023E+2	3,468750E+2	1,299841E+2	3,468750E+2	1,399926E+2	3,468750E+2	1,449792E+2	3,468750E+2	9,676184E+1	3,468750E+2	1,067603E+2	3,468750E+2	1,167053E+2	3,468750E+2	1,265102E+2	3,468750E+2	1,360349E+2	3,468750E+2	1,405649E+2
3,484375E+2	1,000167E+2	3,484375E+2	1,099876E+2	3,484375E+2	1,200016E+2	3,484375E+2	1,299894E+2	3,484375E+2	1,399906E+2	3,484375E+2	1,449812E+2	3,484375E+2	9,681686E+1	3,484375E+2	1,068375E+2	3,484375E+2	1,167952E+2	3,484375E+2	1,265954E+2	3,484375E+2	1,361135E+2	3,484375E+2	1,406392E+2
3,500000E+2	1,000137E+2	3,500000E+2	1,099941E+2	3,500000E+2	1,200008E+2	3,500000E+2	1,299947E+2	3,500000E+2	1,399886E+2	3,500000E+2	1,449833E+2	3,500000E+2	9,687154E+1	3,500000E+2	1,069139E+2	3,500000E+2	1,168842E+2	3,500000E+2	1,266798E+2	3,500000E+2	1,361913E+2	3,500000E+2	1,407127E+2
3,515625E+2	1,000065E+2	3,515625E+2	1,099981E+2	3,515625E+2	1,199974E+2	3,515625E+2	1,299981E+2	3,515625E+2	1,399957E+2	3,515625E+2	1,449882E+2	3,515625E+2	9,698392E+1	3,515625E+2	1,069973E+2	3,515625E+2	1,169795E+2	3,515625E+2	1,267689E+2	3,515625E+2	1,362725E+2	3,515625E+2	1,407865E+2
3,531250E+2	9,999934E+1	3,531250E+2	1,100020E+2	3,531250E+2	1,199939E+2	3,531250E+2	1,300016E+2	3,531250E+2	1,400027E+2	3,531250E+2	1,449932E+2	3,531250E+2	9,709487E+1	3,531250E+2	1,070799E+2	3,531250E+2	1,170739E+2	3,531250E+2	1,268570E+2	3,531250E+2	1,363529E+2	3,531250E+2	1,408597E+2
3,546875E+2	9,999578E+1	3,546875E+2	1,100065E+2	3,546875E+2	1,200001E+2	3,546875E+2	1,300025E+2	3,546875E+2	1,400046E+2	3,546875E+2	1,449944E+2	3,546875E+2	9,719974E+1	3,546875E+2	1,071695E+2	3,546875E+2	1,171612E+2	3,546875E+2	1,269428E+2	3,546875E+2	1,364283E+2	3,546875E+2	1,409321E+2
3,562500E+2	9,999223E+1	3,562500E+2	1,100110E+2	3,562500E+2	1,200062E+2	3,562500E+2	1,300035E+2	3,562500E+2	1,400065E+2	3,562500E+2	1,449955E+2	3,562500E+2	9,730335E+1	3,562500E+2	1,072582E+2	3,562500E+2	1,172476E+2	3,562500E+2	1,270277E+2	3,562500E+2	1,365032E+2	3,562500E+2	1,410038E+2
3,578125E+2	9,999074E+1	3,578125E+2	1,100006E+2	3,578125E+2	1,200094E+2	3,578125E+2	1,300018E+2	3,578125E+2	1,400056E+2	3,578125E+2	1,449920E+2	3,578125E+2	9,739174E+1	3,578125E+2	1,073551E+2	3,578125E+2	1,173341E+2	3,578125E+2	1,271095E+2	3,578125E+2	1,365749E+2	3,578125E+2	1,410704E+2
