Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
7,312500E+2	9,999615E+1
7,328125E+2	9,999590E+1
7,343750E+2	9,999564E+1
7,359375E+2	9,999468E+1
7,375000E+2	9,999372E+1
7,390625E+2	9,999509E+1
7,406250E+2	9,999646E+1
7,421875E+2	9,999567E+1
7,437500E+2	9,999488E+1
7,453125E+2	9,999401E+1
7,468750E+2	9,999314E+1
7,484375E+2	9,999409E+1
7,500000E+2	9,999503E+1
7,515625E+2	9,999470E+1
7,531250E+2	9,999437E+1
7,546875E+2	9,999473E+1
7,562500E+2	9,999509E+1
7,578125E+2	9,999535E+1
7,593750E+2	9,999560E+1
7,609375E+2	9,999549E+1
7,625000E+2	9,999538E+1
7,640625E+2	9,999479E+1
7,656250E+2	9,999421E+1
7,671875E+2	9,999468E+1
7,687500E+2	9,999515E+1
7,703125E+2	9,999521E+1
7,718750E+2	9,999526E+1
7,734375E+2	9,999478E+1
7,750000E+2	9,999430E+1
7,765625E+2	9,999442E+1
7,781250E+2	9,999453E+1
7,796875E+2	9,999478E+1
7,812500E+2	9,999502E+1
7,828125E+2	9,999421E+1
7,843750E+2	9,999341E+1
7,859375E+2	9,999336E+1
7,875000E+2	9,999330E+1
7,890625E+2	9,999392E+1
7,906250E+2	9,999454E+1
7,921875E+2	9,999495E+1
7,937500E+2	9,999535E+1
7,953125E+2	9,999554E+1
7,968750E+2	9,999572E+1
7,984375E+2	9,999573E+1
8,000000E+2	9,999574E+1
8,015625E+2	9,999651E+1
8,031250E+2	9,999728E+1
8,046875E+2	9,999862E+1
8,062500E+2	9,999997E+1
8,078125E+2	9,999982E+1
8,093750E+2	9,999967E+1
8,109375E+2	9,999821E+1
8,125000E+2	9,999674E+1
8,140625E+2	9,999791E+1
8,156250E+2	9,999909E+1
8,171875E+2	9,999784E+1
8,187500E+2	9,999660E+1
8,203125E+2	9,999709E+1
8,218750E+2	9,999758E+1
8,234375E+2	9,999605E+1
8,250000E+2	9,999452E+1
8,265625E+2	9,999501E+1
8,281250E+2	9,999551E+1
8,296875E+2	9,999434E+1
8,312500E+2	9,999316E+1
8,328125E+2	9,998947E+1
8,343750E+2	9,998577E+1
8,359375E+2	9,998304E+1
8,375000E+2	9,998030E+1
8,390625E+2	9,997647E+1
8,406250E+2	9,997265E+1
8,421875E+2	9,997242E+1
8,437500E+2	9,997218E+1
8,453125E+2	9,997543E+1
8,468750E+2	9,997868E+1
8,484375E+2	9,998380E+1
8,500000E+2	9,998892E+1
8,515625E+2	9,999505E+1
8,531250E+2	1,000012E+2
8,546875E+2	1,000039E+2
8,562500E+2	1,000066E+2
8,578125E+2	1,000075E+2
8,593750E+2	1,000084E+2
8,609375E+2	1,000085E+2
8,625000E+2	1,000086E+2
8,640625E+2	1,000077E+2
8,656250E+2	1,000069E+2
8,671875E+2	1,000054E+2
8,687500E+2	1,000039E+2
8,703125E+2	1,000021E+2
8,718750E+2	1,000003E+2
8,734375E+2	9,999879E+1
8,750000E+2	9,999732E+1
8,765625E+2	9,999692E+1
