Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,375000E+2	9,567698E-1	3,375000E+2	9,193154E-1	3,375000E+2	7,796584E-1	3,375000E+2	5,857209E-1	3,375000E+2	4,585723E-1	3,375000E+2	4,211557E-1	3,375000E+2	9,577375E-1	3,375000E+2	9,373681E-1	3,375000E+2	8,510447E-1	3,375000E+2	6,991964E-1	3,375000E+2	5,557555E-1	3,375000E+2	5,026295E-1
3,390625E+2	9,554580E-1	3,390625E+2	9,203279E-1	3,390625E+2	7,834452E-1	3,390625E+2	5,915665E-1	3,390625E+2	4,619524E-1	3,390625E+2	4,237165E-1	3,390625E+2	9,559866E-1	3,390625E+2	9,369819E-1	3,390625E+2	8,532561E-1	3,390625E+2	7,019890E-1	3,390625E+2	5,581524E-1	3,390625E+2	5,052956E-1
3,406250E+2	9,540260E-1	3,406250E+2	9,212960E-1	3,406250E+2	7,871440E-1	3,406250E+2	5,972708E-1	3,406250E+2	4,652338E-1	3,406250E+2	4,261899E-1	3,406250E+2	9,541731E-1	3,406250E+2	9,365714E-1	3,406250E+2	8,554192E-1	3,406250E+2	7,047004E-1	3,406250E+2	5,604519E-1	3,406250E+2	5,078504E-1
3,421875E+2	9,505133E-1	3,421875E+2	9,218214E-1	3,421875E+2	7,912541E-1	3,421875E+2	6,008547E-1	3,421875E+2	4,697855E-1	3,421875E+2	4,286300E-1	3,421875E+2	9,510718E-1	3,421875E+2	9,355322E-1	3,421875E+2	8,573235E-1	3,421875E+2	7,077538E-1	3,421875E+2	5,627656E-1	3,421875E+2	5,101717E-1
3,437500E+2	9,468731E-1	3,437500E+2	9,223122E-1	3,437500E+2	7,952644E-1	3,437500E+2	6,043454E-1	3,437500E+2	4,741937E-1	3,437500E+2	4,309778E-1	3,437500E+2	9,478987E-1	3,437500E+2	9,344849E-1	3,437500E+2	8,591870E-1	3,437500E+2	7,107187E-1	3,437500E+2	5,649837E-1	3,437500E+2	5,123933E-1
3,453125E+2	9,418543E-1	3,453125E+2	9,219820E-1	3,453125E+2	7,992571E-1	3,453125E+2	6,092225E-1	3,453125E+2	4,806556E-1	3,453125E+2	4,344115E-1	3,453125E+2	9,435602E-1	3,453125E+2	9,331355E-1	3,453125E+2	8,608708E-1	3,453125E+2	7,139633E-1	3,453125E+2	5,680253E-1	3,453125E+2	5,148882E-1
3,468750E+2	9,366887E-1	3,468750E+2	9,216236E-1	3,468750E+2	8,031510E-1	3,468750E+2	6,139679E-1	3,468750E+2	4,868746E-1	3,468750E+2	4,376792E-1	3,468750E+2	9,391125E-1	3,468750E+2	9,317772E-1	3,468750E+2	8,625191E-1	3,468750E+2	7,171106E-1	3,468750E+2	5,709334E-1	3,468750E+2	5,172779E-1
3,484375E+2	9,297135E-1	3,484375E+2	9,201358E-1	3,484375E+2	8,062906E-1	3,484375E+2	6,200016E-1	3,484375E+2	4,906017E-1	3,484375E+2	4,434482E-1	3,484375E+2	9,338649E-1	3,484375E+2	9,298900E-1	3,484375E+2	8,638333E-1	3,484375E+2	7,201534E-1	3,484375E+2	5,741698E-1	3,484375E+2	5,202815E-1
3,500000E+2	9,224422E-1	3,500000E+2	9,186421E-1	3,500000E+2	8,093547E-1	3,500000E+2	6,258804E-1	3,500000E+2	4,942157E-1	3,500000E+2	4,489291E-1	3,500000E+2	9,284601E-1	3,500000E+2	9,279891E-1	3,500000E+2	8,651202E-1	3,500000E+2	7,231044E-1	3,500000E+2	5,772949E-1	3,500000E+2	5,231499E-1
3,515625E+2	9,142347E-1	3,515625E+2	9,162286E-1	3,515625E+2	8,115922E-1	3,515625E+2	6,311880E-1	3,515625E+2	4,969306E-1	3,515625E+2	4,516217E-1	3,515625E+2	9,235878E-1	3,515625E+2	9,251849E-1	3,515625E+2	8,658074E-1	3,515625E+2	7,258224E-1	3,515625E+2	5,803706E-1	3,515625E+2	5,259106E-1
3,531250E+2	9,055703E-1	3,531250E+2	9,137997E-1	3,531250E+2	8,137744E-1	3,531250E+2	6,363449E-1	3,531250E+2	4,995618E-1	3,531250E+2	4,542208E-1	3,531250E+2	9,185805E-1	3,531250E+2	9,223552E-1	3,531250E+2	8,664777E-1	3,531250E+2	7,284512E-1	3,531250E+2	5,833297E-1	3,531250E+2	5,285624E-1
3,546875E+2	8,994322E-1	3,546875E+2	9,107300E-1	3,546875E+2	8,156269E-1	3,546875E+2	6,405051E-1	3,546875E+2	5,025974E-1	3,546875E+2	4,564238E-1	3,546875E+2	9,138838E-1	3,546875E+2	9,189685E-1	3,546875E+2	8,666092E-1	3,546875E+2	7,309030E-1	3,546875E+2	5,861587E-1	3,546875E+2	5,312633E-1
3,562500E+2	8,930284E-1	3,562500E+2	9,076236E-1	3,562500E+2	8,174304E-1	3,562500E+2	6,445419E-1	3,562500E+2	5,055210E-1	3,562500E+2	4,585566E-1	3,562500E+2	9,090636E-1	3,562500E+2	9,155407E-1	3,562500E+2	8,667292E-1	3,562500E+2	7,332675E-1	3,562500E+2	5,888700E-1	3,562500E+2	5,338505E-1
3,578125E+2	8,854544E-1	3,578125E+2	9,041208E-1	3,578125E+2	8,192607E-1	3,578125E+2	6,490189E-1	3,578125E+2	5,105156E-1	3,578125E+2	4,615190E-1	3,578125E+2	9,041948E-1	3,578125E+2	9,116428E-1	3,578125E+2	8,666575E-1	3,578125E+2	7,355998E-1	3,578125E+2	5,917151E-1	3,578125E+2	5,367031E-1
3,593750E+2	8,774307E-1	3,593750E+2	9,005630E-1	3,593750E+2	8,210406E-1	3,593750E+2	6,533586E-1	3,593750E+2	5,153614E-1	3,593750E+2	4,644060E-1	3,593750E+2	8,991783E-1	3,593750E+2	9,076763E-1	3,593750E+2	8,665754E-1	3,593750E+2	7,378482E-1	3,593750E+2	5,944441E-1	3,593750E+2	5,394401E-1
3,609375E+2	8,718952E-1	3,609375E+2	8,967934E-1	3,609375E+2	8,223354E-1	3,609375E+2	6,573028E-1	3,609375E+2	5,216910E-1	3,609375E+2	4,707988E-1	3,609375E+2	8,924386E-1	3,609375E+2	9,033738E-1	3,609375E+2	8,662126E-1	3,609375E+2	7,400430E-1	3,609375E+2	5,971466E-1	3,609375E+2	5,422059E-1
3,625000E+2	8,660318E-1	3,625000E+2	8,929452E-1	3,625000E+2	8,235889E-1	3,625000E+2	6,611217E-1	3,625000E+2	5,278034E-1	3,625000E+2	4,769431E-1	3,625000E+2	8,853592E-1	3,625000E+2	8,989719E-1	3,625000E+2	8,658397E-1	3,625000E+2	7,421548E-1	3,625000E+2	5,997358E-1	3,625000E+2	5,448563E-1
3,640625E+2	8,605422E-1	3,640625E+2	8,888101E-1	3,640625E+2	8,245216E-1	3,640625E+2	6,647438E-1	3,640625E+2	5,317483E-1	3,640625E+2	4,819015E-1	3,640625E+2	8,785552E-1	3,640625E+2	8,940713E-1	3,640625E+2	8,651573E-1	3,640625E+2	7,442785E-1	3,640625E+2	6,025173E-1	3,640625E+2	5,476412E-1
3,656250E+2	8,547359E-1	3,656250E+2	8,845653E-1	3,656250E+2	8,254192E-1	3,656250E+2	6,682474E-1	3,656250E+2	5,355582E-1	3,656250E+2	4,866936E-1	3,656250E+2	8,713714E-1	3,656250E+2	8,890287E-1	3,656250E+2	8,644645E-1	3,656250E+2	7,463206E-1	3,656250E+2	6,051812E-1	3,656250E+2	5,503102E-1
3,671875E+2	8,488754E-1	3,671875E+2	8,800780E-1	3,671875E+2	8,259916E-1	3,671875E+2	6,716453E-1	3,671875E+2	5,387303E-1	3,671875E+2	4,900927E-1	3,671875E+2	8,629654E-1	3,671875E+2	8,834341E-1	3,671875E+2	8,634289E-1	3,671875E+2	7,481194E-1	3,671875E+2	6,077537E-1	3,671875E+2	5,528383E-1
3,687500E+2	8,426943E-1	3,687500E+2	8,754482E-1	3,687500E+2	8,265311E-1	3,687500E+2	6,749237E-1	3,687500E+2	5,417843E-1	3,687500E+2	4,933686E-1	3,687500E+2	8,540340E-1	3,687500E+2	8,776416E-1	3,687500E+2	8,623801E-1	3,687500E+2	7,498395E-1	3,687500E+2	6,102065E-1	3,687500E+2	5,552464E-1
3,703125E+2	8,359808E-1	3,703125E+2	8,709940E-1	3,703125E+2	8,268135E-1	3,703125E+2	6,782385E-1	3,703125E+2	5,453555E-1	3,703125E+2	4,967509E-1	3,703125E+2	8,450071E-1	3,703125E+2	8,719975E-1	3,703125E+2	8,609480E-1	3,703125E+2	7,514904E-1	3,703125E+2	6,126942E-1	3,703125E+2	5,577016E-1
3,718750E+2	8,288934E-1	3,718750E+2	8,663851E-1	3,718750E+2	8,270636E-1	3,718750E+2	6,814331E-1	3,718750E+2	5,487926E-1	3,718750E+2	5,000024E-1	3,718750E+2	8,353844E-1	3,718750E+2	8,661325E-1	3,718750E+2	8,594967E-1	3,718750E+2	7,530622E-1	3,718750E+2	6,150620E-1	3,718750E+2	5,600362E-1
3,734375E+2	8,214910E-1	3,734375E+2	8,621270E-1	3,734375E+2	8,271338E-1	3,734375E+2	6,846636E-1	3,734375E+2	5,526305E-1	3,734375E+2	5,035872E-1	3,734375E+2	8,272265E-1	3,734375E+2	8,599256E-1	3,734375E+2	8,576689E-1	3,734375E+2	7,546528E-1	3,734375E+2	6,176393E-1	3,734375E+2	5,626150E-1
3,750000E+2	8,136423E-1	3,750000E+2	8,577225E-1	3,750000E+2	8,271718E-1	3,750000E+2	6,877754E-1	3,750000E+2	5,563173E-1	3,750000E+2	5,070293E-1	3,750000E+2	8,185673E-1	3,750000E+2	8,534471E-1	3,750000E+2	8,558131E-1	3,750000E+2	7,561663E-1	3,750000E+2	6,200937E-1	3,750000E+2	5,650694E-1
3,765625E+2	8,066781E-1	3,765625E+2	8,533028E-1	3,765625E+2	8,269149E-1	3,765625E+2	6,907699E-1	3,765625E+2	5,596004E-1	3,765625E+2	5,103283E-1	3,765625E+2	8,107004E-1	3,765625E+2	8,469705E-1	3,765625E+2	8,536177E-1	3,765625E+2	7,575926E-1	3,765625E+2	6,224827E-1	3,765625E+2	5,674634E-1
3,781250E+2	7,992894E-1	3,781250E+2	8,487280E-1	3,781250E+2	8,266264E-1	3,781250E+2	6,936465E-1	3,781250E+2	5,627459E-1	3,781250E+2	5,134926E-1	3,781250E+2	8,023462E-1	3,781250E+2	8,401936E-1	3,781250E+2	8,513844E-1	3,781250E+2	7,589433E-1	3,781250E+2	6,247510E-1	3,781250E+2	5,697364E-1
3,796875E+2	7,926558E-1	3,796875E+2	8,442302E-1	3,796875E+2	8,259965E-1	3,796875E+2	6,963146E-1	3,796875E+2	5,658424E-1	3,796875E+2	5,165985E-1	3,796875E+2	7,949470E-1	3,796875E+2	8,332894E-1	3,796875E+2	8,489443E-1	3,796875E+2	7,601618E-1	3,796875E+2	6,270019E-1	3,796875E+2	5,719990E-1
3,812500E+2	7,856296E-1	3,812500E+2	8,395733E-1	3,812500E+2	8,253332E-1	3,812500E+2	6,988727E-1	3,812500E+2	5,688007E-1	3,812500E+2	5,195677E-1	3,812500E+2	7,870803E-1	3,812500E+2	8,260338E-1	3,812500E+2	8,464592E-1	3,812500E+2	7,613034E-1	3,812500E+2	6,291318E-1	3,812500E+2	5,741379E-1
3,828125E+2	7,792482E-1	3,828125E+2	8,346930E-1	3,828125E+2	8,244603E-1	3,828125E+2	7,015977E-1	3,828125E+2	5,719968E-1	3,828125E+2	5,228220E-1	3,828125E+2	7,791881E-1	3,828125E+2	8,191372E-1	3,828125E+2	8,439665E-1	3,828125E+2	7,623724E-1	3,828125E+2	6,315015E-1	3,828125E+2	5,765452E-1
3,843750E+2	7,725031E-1	3,843750E+2	8,296261E-1	3,843750E+2	8,235509E-1	3,843750E+2	7,042077E-1	3,843750E+2	5,750573E-1	3,843750E+2	5,259305E-1	3,843750E+2	7,707337E-1	3,843750E+2	8,118823E-1	3,843750E+2	8,414249E-1	3,843750E+2	7,633687E-1	3,843750E+2	6,337457E-1	3,843750E+2	5,788224E-1
3,859375E+2	7,661955E-1	3,859375E+2	8,244108E-1	3,859375E+2	8,224125E-1	3,859375E+2	7,066120E-1	3,859375E+2	5,782016E-1	3,859375E+2	5,288746E-1	3,859375E+2	7,629156E-1	3,859375E+2	8,045195E-1	3,859375E+2	8,385939E-1	3,859375E+2	7,642924E-1	3,859375E+2	6,359450E-1	3,859375E+2	5,810782E-1
3,875000E+2	7,595208E-1	3,875000E+2	8,189769E-1	3,875000E+2	8,212342E-1	3,875000E+2	7,089087E-1	3,875000E+2	5,811996E-1	3,875000E+2	5,316869E-1	3,875000E+2	7,544757E-1	3,875000E+2	7,967661E-1	3,875000E+2	8,356980E-1	3,875000E+2	7,651436E-1	3,875000E+2	6,380215E-1	3,875000E+2	5,832081E-1
3,890625E+2	7,538484E-1	3,890625E+2	8,136204E-1	3,890625E+2	8,198922E-1	3,890625E+2	7,112773E-1	3,890625E+2	5,842427E-1	3,890625E+2	5,346680E-1	3,890625E+2	7,467628E-1	3,890625E+2	7,886743E-1	3,890625E+2	8,324828E-1	3,890625E+2	7,659940E-1	3,890625E+2	6,401956E-1	3,890625E+2	5,854737E-1
3,906250E+2	7,478585E-1	3,906250E+2	8,080314E-1	3,906250E+2	8,185083E-1	3,906250E+2	7,135362E-1	3,906250E+2	5,871460E-1	3,906250E+2	5,375086E-1	3,906250E+2	7,384812E-1	3,906250E+2	7,801439E-1	3,906250E+2	8,291844E-1	3,906250E+2	7,667721E-1	3,906250E+2	6,422454E-1	3,906250E+2	5,876141E-1
3,921875E+2	7,420501E-1	3,921875E+2	8,025206E-1	3,921875E+2	8,170337E-1	3,921875E+2	7,157846E-1	3,921875E+2	5,900664E-1	3,921875E+2	5,404129E-1	3,921875E+2	7,313439E-1	3,921875E+2	7,724621E-1	3,921875E+2	8,258025E-1	3,921875E+2	7,674820E-1	3,921875E+2	6,442954E-1	3,921875E+2	5,897933E-1
3,937500E+2	7,359166E-1	3,937500E+2	7,967627E-1	3,937500E+2	8,155139E-1	3,937500E+2	7,179247E-1	3,937500E+2	5,928478E-1	3,937500E+2	5,431705E-1	3,937500E+2	7,237046E-1	3,937500E+2	7,643628E-1	3,937500E+2	8,223290E-1	3,937500E+2	7,681203E-1	3,937500E+2	6,462229E-1	3,937500E+2	5,918462E-1
3,953125E+2	7,292832E-1	3,953125E+2	7,910696E-1	3,953125E+2	8,139662E-1	3,953125E+2	7,201197E-1	3,953125E+2	5,960077E-1	3,953125E+2	5,460711E-1	3,953125E+2	7,153619E-1	3,953125E+2	7,571322E-1	3,953125E+2	8,187546E-1	3,953125E+2	7,688147E-1	3,953125E+2	6,484550E-1	3,953125E+2	5,942032E-1
3,968750E+2	7,222509E-1	3,968750E+2	7,851292E-1	3,968750E+2	8,123699E-1	3,968750E+2	7,222095E-1	3,968750E+2	5,990151E-1	3,968750E+2	5,488391E-1	3,968750E+2	7,063854E-1	3,968750E+2	7,494953E-1	3,968750E+2	8,150793E-1	3,968750E+2	7,694386E-1	3,968750E+2	6,505575E-1	3,968750E+2	5,964262E-1
3,984375E+2	7,163384E-1	3,984375E+2	7,793893E-1	3,984375E+2	8,105873E-1	3,984375E+2	7,241053E-1	3,984375E+2	6,017626E-1	3,984375E+2	5,515650E-1	3,984375E+2	6,963786E-1	3,984375E+2	7,423790E-1	3,984375E+2	8,112989E-1	3,984375E+2	7,698924E-1	3,984375E+2	6,525182E-1	3,984375E+2	5,985147E-1
4,000000E+2	7,101016E-1	4,000000E+2	7,734081E-1	4,000000E+2	8,087505E-1	4,000000E+2	7,258972E-1	4,000000E+2	6,043697E-1	4,000000E+2	5,541426E-1	4,000000E+2	6,856299E-1	4,000000E+2	7,348302E-1	4,000000E+2	8,074044E-1	4,000000E+2	7,702737E-1	4,000000E+2	6,543539E-1	4,000000E+2	6,004710E-1
4,015625E+2	7,034614E-1	4,015625E+2	7,677033E-1	4,015625E+2	8,067728E-1	4,015625E+2	7,276881E-1	4,015625E+2	6,071501E-1	4,015625E+2	5,568060E-1	4,015625E+2	6,779732E-1	4,015625E+2	7,274646E-1	4,015625E+2	8,033043E-1	4,015625E+2	7,706117E-1	4,015625E+2	6,563254E-1	4,015625E+2	6,025588E-1
4,031250E+2	6,964397E-1	4,031250E+2	7,617642E-1	4,031250E+2	8,047369E-1	4,031250E+2	7,293764E-1	4,031250E+2	6,097823E-1	4,031250E+2	5,593268E-1	4,031250E+2	6,699185E-1	4,031250E+2	7,196413E-1	4,031250E+2	7,990737E-1	4,031250E+2	7,708754E-1	4,031250E+2	6,581651E-1	4,031250E+2	6,045098E-1
