Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,593750E+2	6,683030E+1	3,593750E+2	7,068167E+1	3,593750E+2	7,990729E+1	3,593750E+2	9,126296E+1	3,593750E+2	9,926853E+1	3,593750E+2	1,044370E+2	3,593750E+2	1,068146E+2
3,609375E+2	6,616672E+1	3,609375E+2	7,133982E+1	3,609375E+2	7,998590E+1	3,609375E+2	9,109044E+1	3,609375E+2	9,934869E+1	3,609375E+2	1,046401E+2	3,609375E+2	1,065990E+2
3,625000E+2	5,985961E+1	3,625000E+2	7,015297E+1	3,625000E+2	8,060107E+1	3,625000E+2	9,113774E+1	3,625000E+2	9,964912E+1	3,625000E+2	1,048648E+2	3,625000E+2	1,082461E+2
3,640625E+2	6,180571E+1	3,640625E+2	7,036312E+1	3,640625E+2	8,154355E+1	3,640625E+2	9,175925E+1	3,640625E+2	9,845990E+1	3,640625E+2	1,037947E+2	3,640625E+2	1,080083E+2
3,656250E+2	6,277063E+1	3,656250E+2	7,114096E+1	3,656250E+2	8,207026E+1	3,656250E+2	9,099664E+1	3,656250E+2	9,910022E+1	3,656250E+2	1,036120E+2	3,656250E+2	1,083797E+2
3,671875E+2	6,214097E+1	3,671875E+2	7,171025E+1	3,671875E+2	8,156696E+1	3,671875E+2	9,192239E+1	3,671875E+2	1,017239E+2	3,671875E+2	1,046647E+2	3,671875E+2	1,081764E+2
3,687500E+2	6,100379E+1	3,687500E+2	7,285673E+1	3,687500E+2	8,199357E+1	3,687500E+2	9,163906E+1	3,687500E+2	1,004894E+2	3,687500E+2	1,052932E+2	3,687500E+2	1,083245E+2
3,703125E+2	6,133675E+1	3,703125E+2	7,265547E+1	3,703125E+2	8,263957E+1	3,703125E+2	9,171158E+1	3,703125E+2	1,002708E+2	3,703125E+2	1,053742E+2	3,703125E+2	1,092413E+2
3,718750E+2	6,162917E+1	3,718750E+2	7,340162E+1	3,718750E+2	8,276016E+1	3,718750E+2	9,157398E+1	3,718750E+2	1,005584E+2	3,718750E+2	1,042022E+2	3,718750E+2	1,084815E+2
3,734375E+2	6,161325E+1	3,734375E+2	7,330642E+1	3,734375E+2	8,344527E+1	3,734375E+2	9,196510E+1	3,734375E+2	1,007176E+2	3,734375E+2	1,049777E+2	3,734375E+2	1,087947E+2
