Partie réelle               Partie imaginaire
533.170328626721            402.548576232314
533.111606446174            401.385712346997
533.053975907362            400.228349405042
532.997433089864            399.076449463658
532.941974073023            397.929974995163
532.887594936188            396.788888881315
532.834291758939            395.65315440772
532.782060621312            394.522735258348
532.730897604017            393.397595510133
532.68079878865            392.277699627658
532.631760257902            391.163012457934
532.583778095756            390.053499225261
532.536848387688            388.94912552617
532.490967220853            387.849857324456
532.446130684272            386.75566094628
532.402334869015            385.666503075361
532.359575868372            384.582350748237
532.317849778025            383.503171349606
532.277152696215            382.428932607746
532.237480723898            381.359602589996
532.198829964906            380.295149698325
532.161196526095            379.235542664958
532.124576517495            378.180750548079
532.088966052446            377.130742727601
532.054361247742            376.085488900997
532.020758223763            375.044959079208
531.988153104603            374.009123582602
531.956542018193            372.977953037007
531.925921096427            371.9514183698
531.896286475276            370.929490806059
531.867634294902            369.912141864774
531.839960699765            368.899343355117
531.813261838732            367.891067372771
531.787533865174            366.887286296312
531.762772937068            365.887972783651
531.73897521709            364.893099768525
531.716136872704            363.902640457049
531.694254076251            362.916568324314
531.673323005034            361.934857111041
531.653339841394            360.957480820279
531.634300772792            359.984413714165
531.61620199188            359.015630310719
531.599039696576            358.051105380698
531.582810090124            357.090813944493
531.567509381164            356.134731269067
531.553133783796            355.182832864951
531.539679517632            354.235094483274
531.527142807855            353.291492112841
531.515519885275            352.352001977253
531.504806986374            351.416600532073
531.495000353354            350.485264462027
531.486096234187            349.557970678255
531.478090882652            348.634696315595
531.470980558375            347.715418729906
531.464761526867            346.800115495438
531.459430059562            345.888764402232
531.454982433843            344.98134345356
531.451414933075            344.077830863406
531.448723846631            343.178205053976
531.446905469921            342.282444653248
531.44595610441            341.390528492559
531.445872057642            340.502435604222
531.446649643257            339.61814521918
531.448285181007            338.73763676469
531.450774996774            337.860889862046
531.454115422576            336.987884324323
531.458302796584            336.118600154169
531.463333463128            335.253017541611
531.4692037727            334.391116861904
531.475910081966            333.532878673403
531.483448753762            332.678283715468
