Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,484375E+2	1,672075E-1	3,484375E+2	-1,505891E+0	3,484375E+2	1,787499E-1	3,484375E+2	-1,484382E+0	3,484375E+2	1,687530E-1	3,484375E+2	-1,484256E+0	3,484375E+2	1,838064E-1	3,484375E+2	-1,488729E+0
3,500000E+2	2,173111E-1	3,500000E+2	-1,494851E+0	3,500000E+2	1,721235E-1	3,500000E+2	-1,436644E+0	3,500000E+2	1,687008E-1	3,500000E+2	-1,439414E+0	3,500000E+2	1,736255E-1	3,500000E+2	-1,438730E+0
3,515625E+2	2,013478E-1	3,515625E+2	-1,425865E+0	3,515625E+2	1,435945E-1	3,515625E+2	-1,415315E+0	3,515625E+2	1,631498E-1	3,515625E+2	-1,430039E+0	3,515625E+2	1,666445E-1	3,515625E+2	-1,428510E+0
3,531250E+2	1,803185E-1	3,531250E+2	-1,368981E+0	3,531250E+2	1,600539E-1	3,531250E+2	-1,349247E+0	3,531250E+2	1,803305E-1	3,531250E+2	-1,377361E+0	3,531250E+2	1,832096E-1	3,531250E+2	-1,373885E+0
3,546875E+2	1,763560E-1	3,546875E+2	-1,321053E+0	3,546875E+2	1,922674E-1	3,546875E+2	-1,317659E+0	3,546875E+2	1,957202E-1	3,546875E+2	-1,325597E+0	3,546875E+2	1,941963E-1	3,546875E+2	-1,325141E+0
3,562500E+2	1,611977E-1	3,562500E+2	-1,368361E+0	3,562500E+2	1,859756E-1	3,562500E+2	-1,320998E+0	3,562500E+2	1,899283E-1	3,562500E+2	-1,324508E+0	3,562500E+2	1,999614E-1	3,562500E+2	-1,322636E+0
3,578125E+2	1,399437E-1	3,578125E+2	-1,247962E+0	3,578125E+2	1,839742E-1	3,578125E+2	-1,294748E+0	3,578125E+2	1,801856E-1	3,578125E+2	-1,280997E+0	3,578125E+2	1,853520E-1	3,578125E+2	-1,277131E+0
3,593750E+2	1,738323E-1	3,593750E+2	-1,255107E+0	3,593750E+2	1,957705E-1	3,593750E+2	-1,261054E+0	3,593750E+2	1,877796E-1	3,593750E+2	-1,251584E+0	3,593750E+2	1,932832E-1	3,593750E+2	-1,243444E+0
3,609375E+2	1,546947E-1	3,609375E+2	-1,321101E+0	3,609375E+2	1,664849E-1	3,609375E+2	-1,256646E+0	3,609375E+2	1,719316E-1	3,609375E+2	-1,262049E+0	3,609375E+2	1,716298E-1	3,609375E+2	-1,261691E+0
3,625000E+2	2,237664E-1	3,625000E+2	-1,214519E+0	3,625000E+2	1,629436E-1	3,625000E+2	-1,223723E+0	3,625000E+2	1,689170E-1	3,625000E+2	-1,223312E+0	3,625000E+2	1,760338E-1	3,625000E+2	-1,237240E+0
3,640625E+2	2,415646E-1	3,640625E+2	-1,188432E+0	3,640625E+2	1,795888E-1	3,640625E+2	-1,208271E+0	3,640625E+2	1,803408E-1	3,640625E+2	-1,215519E+0	3,640625E+2	1,970197E-1	3,640625E+2	-1,210031E+0
