Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
4,000000E+2	6,914715E+1	4,000000E+2	7,882594E+1	4,000000E+2	8,786749E+1	4,000000E+2	9,746325E+1
4,015625E+2	6,958069E+1	4,015625E+2	7,872981E+1	4,015625E+2	8,784567E+1	4,015625E+2	9,869686E+1
4,031250E+2	6,971545E+1	4,031250E+2	7,896469E+1	4,031250E+2	8,750278E+1	4,031250E+2	9,913062E+1
4,046875E+2	6,935836E+1	4,046875E+2	8,025609E+1	4,046875E+2	8,835932E+1	4,046875E+2	9,968738E+1
4,062500E+2	6,982519E+1	4,062500E+2	7,995332E+1	4,062500E+2	8,944598E+1	4,062500E+2	9,938460E+1
4,078125E+2	7,092546E+1	4,078125E+2	8,124803E+1	4,078125E+2	9,075966E+1	4,078125E+2	9,951736E+1
4,093750E+2	7,147438E+1	4,093750E+2	8,198905E+1	4,093750E+2	9,087444E+1	4,093750E+2	1,005780E+2
4,109375E+2	7,135837E+1	4,109375E+2	8,189065E+1	4,109375E+2	9,089084E+1	4,109375E+2	1,016919E+2
4,125000E+2	7,146325E+1	4,125000E+2	8,210953E+1	4,125000E+2	9,181630E+1	4,125000E+2	1,027218E+2
4,140625E+2	7,067135E+1	4,140625E+2	8,099244E+1	4,140625E+2	9,219970E+1	4,140625E+2	1,009788E+2
4,156250E+2	7,211704E+1	4,156250E+2	8,223490E+1	4,156250E+2	9,267257E+1	4,156250E+2	1,019068E+2
4,171875E+2	7,327120E+1	4,171875E+2	8,200032E+1	4,171875E+2	9,179427E+1	4,171875E+2	1,018295E+2
4,187500E+2	8,264372E+1	4,187500E+2	8,348783E+1	4,187500E+2	9,167253E+1	4,187500E+2	1,008121E+2
4,203125E+2	8,501445E+1	4,203125E+2	8,512537E+1	4,203125E+2	9,281166E+1	4,203125E+2	1,003604E+2
4,218750E+2	7,671601E+1	4,218750E+2	8,207409E+1	4,218750E+2	9,113762E+1	4,218750E+2	1,005717E+2
4,234375E+2	7,077869E+1	4,234375E+2	8,073622E+1	4,234375E+2	9,050470E+1	4,234375E+2	1,016139E+2
4,250000E+2	7,131583E+1	4,250000E+2	8,122770E+1	4,250000E+2	9,097267E+1	4,250000E+2	1,007575E+2
4,265625E+2	7,107205E+1	4,265625E+2	8,150845E+1	4,265625E+2	9,019275E+1	4,265625E+2	9,973818E+1
4,281250E+2	7,046665E+1	4,281250E+2	8,033386E+1	4,281250E+2	9,081566E+1	4,281250E+2	9,934817E+1
4,296875E+2	7,067440E+1	4,296875E+2	8,030113E+1	4,296875E+2	9,121864E+1	4,296875E+2	9,901418E+1
4,312500E+2	6,959452E+1	4,312500E+2	7,815298E+1	4,312500E+2	8,974746E+1	4,312500E+2	9,810682E+1
4,328125E+2	6,830944E+1	4,328125E+2	7,728181E+1	4,328125E+2	8,898695E+1	4,328125E+2	9,817358E+1
4,343750E+2	6,761497E+1	4,343750E+2	7,748872E+1	4,343750E+2	8,837948E+1	4,343750E+2	9,734294E+1
4,359375E+2	6,646395E+1	4,359375E+2	7,737680E+1	4,359375E+2	8,665303E+1	4,359375E+2	9,846211E+1
4,375000E+2	6,642662E+1	4,375000E+2	7,784430E+1	4,375000E+2	8,667746E+1	4,375000E+2	9,821950E+1
4,390625E+2	6,698047E+1	4,390625E+2	7,784141E+1	4,390625E+2	8,835722E+1	4,390625E+2	9,845590E+1
4,406250E+2	6,642657E+1	4,406250E+2	7,593972E+1	4,406250E+2	8,795664E+1	4,406250E+2	9,771237E+1
4,421875E+2	6,612574E+1	4,421875E+2	7,674188E+1	4,421875E+2	8,677615E+1	4,421875E+2	9,669292E+1
4,437500E+2	6,572877E+1	4,437500E+2	7,648052E+1	4,437500E+2	8,537526E+1	4,437500E+2	9,659616E+1
4,453125E+2	6,556674E+1	4,453125E+2	7,678454E+1	4,453125E+2	8,541899E+1	4,453125E+2	9,671851E+1
4,468750E+2	6,444591E+1	4,468750E+2	7,530335E+1	4,468750E+2	8,491091E+1	4,468750E+2	9,657596E+1
4,484375E+2	6,537307E+1	4,484375E+2	7,463645E+1	4,484375E+2	8,496015E+1	4,484375E+2	9,613113E+1
4,500000E+2	6,397684E+1	4,500000E+2	7,365786E+1	4,500000E+2	8,547923E+1	4,500000E+2	9,601073E+1
4,515625E+2	6,380821E+1	4,515625E+2	7,353261E+1	4,515625E+2	8,472714E+1	4,515625E+2	9,464086E+1
4,531250E+2	6,417691E+1	4,531250E+2	7,257095E+1	4,531250E+2	8,458155E+1	4,531250E+2	9,406404E+1
4,546875E+2	6,358164E+1	4,546875E+2	7,341844E+1	4,546875E+2	8,436840E+1	4,546875E+2	9,386210E+1
4,562500E+2	6,227615E+1	4,562500E+2	7,370796E+1	4,562500E+2	8,349283E+1	4,562500E+2	9,361259E+1
4,578125E+2	6,219323E+1	4,578125E+2	7,265499E+1	4,578125E+2	8,213805E+1	4,578125E+2	9,250338E+1
4,593750E+2	6,328650E+1	4,593750E+2	7,286430E+1	4,593750E+2	8,272434E+1	4,593750E+2	9,250168E+1
4,609375E+2	6,211606E+1	4,609375E+2	7,222466E+1	4,609375E+2	8,239642E+1	4,609375E+2	9,238843E+1
4,625000E+2	6,117606E+1	4,625000E+2	7,110049E+1	4,625000E+2	8,166955E+1	4,625000E+2	9,265341E+1
4,640625E+2	6,302957E+1	4,640625E+2	7,079915E+1	4,640625E+2	7,960317E+1	4,640625E+2	9,191098E+1
4,656250E+2	6,229280E+1	4,656250E+2	7,128598E+1	4,656250E+2	8,070983E+1	4,656250E+2	9,138750E+1
4,671875E+2	6,231427E+1	4,671875E+2	7,101977E+1	4,671875E+2	8,183630E+1	4,671875E+2	9,101453E+1
4,687500E+2	6,157530E+1	4,687500E+2	7,089156E+1	4,687500E+2	8,148942E+1	4,687500E+2	9,061726E+1
4,703125E+2	6,115307E+1	4,703125E+2	6,992408E+1	4,703125E+2	8,043546E+1	4,703125E+2	9,044359E+1
4,718750E+2	6,005968E+1	4,718750E+2	7,024714E+1	4,718750E+2	8,034933E+1	4,718750E+2	8,892873E+1
4,734375E+2	5,840704E+1	4,734375E+2	6,993522E+1	4,734375E+2	8,064942E+1	4,734375E+2	8,881333E+1
4,750000E+2	5,963515E+1	4,750000E+2	6,986777E+1	4,750000E+2	7,975787E+1	4,750000E+2	8,924258E+1
4,765625E+2	5,982085E+1	4,765625E+2	6,956891E+1	4,765625E+2	7,968994E+1	4,765625E+2	8,930657E+1
4,781250E+2	6,020848E+1	4,781250E+2	6,937414E+1	4,781250E+2	7,912921E+1	4,781250E+2	8,900141E+1
4,796875E+2	6,215745E+1	4,796875E+2	6,845525E+1	4,796875E+2	7,802701E+1	4,796875E+2	8,857119E+1
4,812500E+2	6,060803E+1	4,812500E+2	6,885839E+1	4,812500E+2	7,845083E+1	4,812500E+2	8,883551E+1
4,828125E+2	5,905529E+1	4,828125E+2	6,893778E+1	4,828125E+2	7,944667E+1	4,828125E+2	8,853697E+1
4,843750E+2	5,866668E+1	4,843750E+2	6,929339E+1	4,843750E+2	8,021517E+1	4,843750E+2	8,884104E+1
4,859375E+2	5,942916E+1	4,859375E+2	7,002730E+1	4,859375E+2	7,970154E+1	4,859375E+2	9,003480E+1
4,875000E+2	6,019347E+1	4,875000E+2	7,002642E+1	4,875000E+2	7,943948E+1	4,875000E+2	9,022027E+1
4,890625E+2	6,041992E+1	4,890625E+2	7,014747E+1	4,890625E+2	8,009224E+1	4,890625E+2	8,995349E+1
4,906250E+2	6,016985E+1	4,906250E+2	7,140556E+1	4,906250E+2	7,918264E+1	4,906250E+2	9,080517E+1
4,921875E+2	5,961162E+1	4,921875E+2	7,153637E+1	4,921875E+2	8,009473E+1	4,921875E+2	9,115075E+1
4,937500E+2	6,066886E+1	4,937500E+2	7,200257E+1	4,937500E+2	8,095863E+1	4,937500E+2	9,140097E+1
4,953125E+2	6,118876E+1	4,953125E+2	7,154775E+1	4,953125E+2	8,073028E+1	4,953125E+2	9,135585E+1
4,968750E+2	6,164637E+1	4,968750E+2	7,188187E+1	4,968750E+2	8,145971E+1	4,968750E+2	9,204633E+1
4,984375E+2	6,239865E+1	4,984375E+2	7,249586E+1	4,984375E+2	8,160565E+1	4,984375E+2	9,214253E+1
5,000000E+2	6,172764E+1	5,000000E+2	7,235895E+1	5,000000E+2	8,170718E+1	5,000000E+2	9,052716E+1
5,015625E+2	6,044162E+1	5,015625E+2	7,256131E+1	5,015625E+2	8,184047E+1	5,015625E+2	9,171026E+1
5,031250E+2	6,146894E+1	5,031250E+2	7,204742E+1	5,031250E+2	8,238021E+1	5,031250E+2	9,256227E+1
5,046875E+2	6,287593E+1	5,046875E+2	7,233252E+1	5,046875E+2	8,195405E+1	5,046875E+2	9,173865E+1
5,062500E+2	6,247432E+1	5,062500E+2	7,122311E+1	5,062500E+2	8,221163E+1	5,062500E+2	9,198586E+1
5,078125E+2	6,082698E+1	5,078125E+2	7,060508E+1	5,078125E+2	8,206683E+1	5,078125E+2	9,150952E+1
5,093750E+2	6,075717E+1	5,093750E+2	7,245356E+1	5,093750E+2	8,145420E+1	5,093750E+2	9,225842E+1
5,109375E+2	6,147341E+1	5,109375E+2	7,205639E+1	5,109375E+2	8,144842E+1	5,109375E+2	9,131478E+1
5,125000E+2	6,166061E+1	5,125000E+2	7,172992E+1	5,125000E+2	8,115698E+1	5,125000E+2	9,234004E+1
5,140625E+2	6,156570E+1	5,140625E+2	7,185067E+1	5,140625E+2	8,289962E+1	5,140625E+2	9,296020E+1
5,156250E+2	6,212129E+1	5,156250E+2	7,148335E+1	5,156250E+2	8,333708E+1	5,156250E+2	9,213902E+1
5,171875E+2	6,247025E+1	5,171875E+2	7,219914E+1	5,171875E+2	8,227028E+1	5,171875E+2	9,174345E+1
5,187500E+2	6,308514E+1	5,187500E+2	7,285410E+1	5,187500E+2	8,215060E+1	5,187500E+2	9,192910E+1
5,203125E+2	6,175836E+1	5,203125E+2	7,244208E+1	5,203125E+2	8,188732E+1	5,203125E+2	9,185761E+1
5,218750E+2	6,106866E+1	5,218750E+2	7,110053E+1	5,218750E+2	8,224942E+1	5,218750E+2	9,258395E+1
5,234375E+2	6,180472E+1	5,234375E+2	7,077251E+1	5,234375E+2	8,235049E+1	5,234375E+2	9,304699E+1
5,250000E+2	6,206242E+1	5,250000E+2	7,182663E+1	5,250000E+2	8,219254E+1	5,250000E+2	9,284366E+1
5,265625E+2	6,267587E+1	5,265625E+2	7,166334E+1	5,265625E+2	8,199542E+1	5,265625E+2	9,220275E+1
